"X","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_response","att_check_1","att_check_2","att_check_3_1","att_check_3_2","att_check_3_3","att_check_4","comp_check_1","comp_check_2","comp_check_3","plot_names","satisfaction","personal_desirability","word","willingness_to_pay","subject","comp_check_7","comp_check_8","comp_check_9","wtp_original","embeddings","interestingness","sentiment_score","is_word"
4,"8/25/21 9:51","8/25/21 10:05","IP Address",100,845,TRUE,"8/25/21 10:05","R_1IauVa6frjTcvIH",NA,NA,NA,NA,28.04750061,-82.6147995,"anonymous","EN","Yes",NA,NA,NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience","linear_rise",90,100,"Desirable",10.9034875525361,1,"Happiness","Customer Touchpoint","Satisfaction",20000,0.00195430449265039,81,0.776275396347046,TRUE
4,"8/25/21 9:51","8/25/21 10:05","IP Address",100,845,TRUE,"8/25/21 10:05","R_1IauVa6frjTcvIH",NA,NA,NA,NA,28.04750061,-82.6147995,"anonymous","EN","Yes",NA,NA,NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience","linear_fall",10,0,"downhill",9.51719319141624,1,"Happiness","Customer Touchpoint","Satisfaction",5000,-0.001824795506625,94,-0.782345414161682,TRUE
4,"8/25/21 9:51","8/25/21 10:05","IP Address",100,845,TRUE,"8/25/21 10:05","R_1IauVa6frjTcvIH",NA,NA,NA,NA,28.04750061,-82.6147995,"anonymous","EN","Yes",NA,NA,NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience","linear_low",0,0,"Miserable",8.60090245954208,1,"Happiness","Customer Touchpoint","Satisfaction",2000,0.00189263536064453,78,-0.766147941350937,TRUE
4,"8/25/21 9:51","8/25/21 10:05","IP Address",100,845,TRUE,"8/25/21 10:05","R_1IauVa6frjTcvIH",NA,NA,NA,NA,28.04750061,-82.6147995,"anonymous","EN","Yes",NA,NA,NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience","linear_middle",50,50,"neutral",10.7981270368783,1,"Happiness","Customer Touchpoint","Satisfaction",18000,0.000351917439864844,67,-0.573340982198715,TRUE
4,"8/25/21 9:51","8/25/21 10:05","IP Address",100,845,TRUE,"8/25/21 10:05","R_1IauVa6frjTcvIH",NA,NA,NA,NA,28.04750061,-82.6147995,"anonymous","EN","Yes",NA,NA,NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience","linear_high",100,100,"Exceptional",10.9987977323405,1,"Happiness","Customer Touchpoint","Satisfaction",22000,0.00261540301994141,64,0.733873844146729,TRUE
4,"8/25/21 9:51","8/25/21 10:05","IP Address",100,845,TRUE,"8/25/21 10:05","R_1IauVa6frjTcvIH",NA,NA,NA,NA,28.04750061,-82.6147995,"anonymous","EN","Yes",NA,NA,NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience","exp_rise_convex",80,90,"exponential",10.9034875525361,1,"Happiness","Customer Touchpoint","Satisfaction",20000,-0.00223988440976563,90,0.447273015975952,TRUE
4,"8/25/21 9:51","8/25/21 10:05","IP Address",100,845,TRUE,"8/25/21 10:05","R_1IauVa6frjTcvIH",NA,NA,NA,NA,28.04750061,-82.6147995,"anonymous","EN","Yes",NA,NA,NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience","exp_fall_convex",5,0,"awful",9.29404964010203,1,"Happiness","Customer Touchpoint","Satisfaction",4000,0.000413235023933595,88,-0.76956869661808,TRUE
4,"8/25/21 9:51","8/25/21 10:05","IP Address",100,845,TRUE,"8/25/21 10:05","R_1IauVa6frjTcvIH",NA,NA,NA,NA,28.04750061,-82.6147995,"anonymous","EN","Yes",NA,NA,NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience","exp_rise_concave",95,100,"inspiring",10.9522777167056,1,"Happiness","Customer Touchpoint","Satisfaction",21000,-0.000897169331640625,76,0.742148160934448,TRUE
4,"8/25/21 9:51","8/25/21 10:05","IP Address",100,845,TRUE,"8/25/21 10:05","R_1IauVa6frjTcvIH",NA,NA,NA,NA,28.04750061,-82.6147995,"anonymous","EN","Yes",NA,NA,NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience","exp_fall_concave",55,40,"nosedive",10.7409686230384,1,"Happiness","Customer Touchpoint","Satisfaction",17000,-0.000605685060654297,93,-0.709654778242111,FALSE
4,"8/25/21 9:51","8/25/21 10:05","IP Address",100,845,TRUE,"8/25/21 10:05","R_1IauVa6frjTcvIH",NA,NA,NA,NA,28.04750061,-82.6147995,"anonymous","EN","Yes",NA,NA,NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience","sin_fr_full",75,55,"patient",10.8521942581486,1,"Happiness","Customer Touchpoint","Satisfaction",19000,-0.000470823589726562,107,-0.0430810451507568,TRUE
