"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_response","att_check_1","att_check_2","att_check_3_1","att_check_3_2","att_check_3_3","att_check_4","comp_check_1","comp_check_2","comp_check_3","timer_First.Click","timer_Last.Click","timer_Page.Submit","timer_Click.Count","comp_check_4","comp_check_5","comp_check_6","lr_satisfy_1","lr_preference_1","lr_word_gen_1","lr_pay","lf_satisfy_1","lf_preference_1","lf_word_gen_1","lf_pay","ll_satisfy_1","ll_preference_1","ll_word_gen_1","ll_pay","lm_satisfy_1","lm_preference_1","lm_word_gen_1","lm_pay","lh_satisfy_1","lh_preference_1","lh_word_gen_1","lh_pay","ercv_satisfy_1","ercv_preference_1","ercv_word_gen_1","ercv_pay","efcv_satisfy_1","efcv_preference_1","efcv_word_gen_1","efcv_pay","ercc_satisfy_1","ercc_preference_1","ercc_word_gen_1","ercc_pay","efcc_satisfy_1","efcc_preference_1","efcc_word_gen_1","efcc_pay","sfr_full_satisfy_1","sfr_full_preference_1","sfr_full_word_gen_1","sfr_full_pay","sfr_par_satisfy_1","sfr_par_preference_1","sfr_par_word_gen_1","sfr_par_pay","srf_full_satisfy_1","srf_full_preference_1","srf_full_word_gen_1","srf_full_pay","srf_par_satisfy_1","srf_par_preference_1","srf_par_word_gen_1","srf_par_pay","srfr_full_satisfy_1","srfr_full_preference_1","srfr_full_word_gen_1","srfr_full_pay","srfr_par_satisfy_1","srfr_par_preference_1","srfr_par_word_gen_1","srfr_par_pay","sfrf_full_satisfy_1","sfrf_full_preference_1","sfrf_full_word_gen_1","sfrf_full_pay","sfrf_par_satisfy_1","sfrf_par_preference_1","sfrf_par_word_gen_1","sfrf_par_pay","sfrfr_satisfy_1","sfrfr_preference_1","sfrfr_word_gen_1","sfrfr_pay","srfrf_satisfy_1","srfrf_preference_1","srfrf_word_gen_1","srfrf_pay","log_rise_satisfy_1","log_rise_preference_1","log_rise_word_gen_1","log_rise_pay","log_fall_satisfy_1","log_fall_preference_1","log_fall_word_gen_1","log_fall_pay","pc_full_satisfy_1","pc_full_preference_1","pc_full_word_gen_1","pc_full_pay","pc_par_satisfy_1","pc_par_preference_1","pc_par_word_gen_1","pc_par_pay","nc_full_satisfy_1","nc_full_preference_1","nc_full_word_gen_1","nc_full_pay","nc_par_satisfy_1","nc_par_preference_1","nc_par_word_gen_1","nc_par_pay","lrsf_satisfy_1","lrsf_preference_1","lrsf_word_gen_1","lrsf_pay","lrsfer_satisfy_1","lrsfer_preference_1","lrsfer_word_gen_1","lrsfer_pay","comp_check_7","comp_check_8","comp_check_9","gender","gender_4_TEXT","ethnicity","ethnicity_5_TEXT","age","education","education_9_TEXT","comments","StudyID","FL_34_DO"
"1","8/25/21 9:19","8/25/21 9:37","IP Address",100,1111,TRUE,"8/25/21 9:37","R_1JRNX4ArYeXOBAA",NA,NA,NA,NA,32.81370544,-96.87039948,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,40,"They were highly stressed early in their customer experience, then highly unstressed later in their customer experience",0,0,82.395,0,80,60,"They were highly stressed early in their customer experience, then highly unstressed later in their customer experience",48,61,"sideways","7000",53,40,"sideways","5000",43,30,"line","5000",52,64,"straight","7000",89,82,"upper line","8000",42,71,"top","5000",40,57,"sideways","7000",28,40,"sloping","3000",40,50,"slightly","3500",44,74,"patternq","6000",73,60,"shape","5000",70,58,"zig","4000",73,88,"good","3000",49,38,"sideways","6000",39,30,"slide","5000",60,49,"zigzag","4000",47,71,"pattern","5000",50,42,"slope","5000",58,50,"zig","7000",55,38,"side","5000",53,40,"bad","4000",61,71,"shape","5000",40,58,"shape","6000",52,61,"pattern","8000",55,74,"upper line","6000",59,40,"pattern","6000",55,77,"slope","6000","Happiness","Customer Touchpoint","Happiness","Male",NA,"White","","32","College Graduate (4 year)","","","lifelines_e3","Sinusoidal_Rise_Fall_Partial|Logistic_Fall|Exponential_Rise_Concave|Exponential_Fall_Concave|Sinusoidal_Fall_Rise_Fall_Full|Positive_Change_Partial|Sinusoidal_Fall_Rise_Partial|Linear_Middle|Sinusoidal_Rise_Fall_Full|Exponential_Rise_Convex|Linear_Rise_Sharp_Fall_Exponential_Rise|Linear_Rise|Sinusoidal_Fall_Rise_Fall_Partial|Negative_Change_Partial|Positive_Change_Full|Linear_High|Sinusoidal_Rise_Fall_Rise_Fall|Linear_Low|Exponential_Fall_Convex|Linear_Rise_Sharp_Fall|Sinusoidal_Rise_Fall_Rise_Partial|Logistic_Rise|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Rise|Negative_Change_Full|Linear_Fall|Sinusoidal_Fall_Rise_Full"
"2","8/25/21 9:23","8/25/21 9:38","IP Address",100,886,TRUE,"8/25/21 9:38","R_1ILREgNJ58XgLLW",NA,NA,NA,NA,27.4046936,-99.47429657,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,40,"They were highly stressed early in their customer experience, then highly unstressed later in their customer experience",0,0,82.156,0,80,80,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience",80,89,"like","20000",83,72,"well","16000",77,88,"no","15000",62,74,"nice","10000",73,85,"well","50000",73,88,"No","20000",72,86,"Great","15000",83,74,"no","20000",82,69,"well","160000",70,83,"nice","10000",77,57,"Good","45000",70,89,"like","30000",73,85,"Happy","20000",66,83,"like","50000",72,86,"nice","20000",81,89,"good","15000",64,78,"nothing","40000",64,77,"nice","10000",81,59,"well","15000",66,82,"Like","15000",61,79,"great","20000",73,86,"well","30000",62,83,"nothing","12000",81,64,"nice","10000",82,62,"no","50000",73,87,"nothing","15000",61,81,"To the very like and very nice the performing the study.","20000","Customer Touchpoint","Customer Touchpoint","Customer Touchpoint","Male",NA,"White","","41","Masters Degree (MS)","","Good","lifelines_e3","Linear_Rise_Sharp_Fall_Exponential_Rise|Logistic_Rise|Negative_Change_Full|Positive_Change_Partial|Positive_Change_Full|Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Rise_Fall_Rise_Partial|Logistic_Fall|Negative_Change_Partial|Linear_Middle|Exponential_Rise_Convex|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Fall_Rise_Full|Sinusoidal_Rise_Fall_Full|Linear_Rise_Sharp_Fall|Linear_Rise|Sinusoidal_Fall_Rise_Fall_Partial|Linear_Low|Sinusoidal_Fall_Rise_Partial|Linear_Fall|Exponential_Rise_Concave|Sinusoidal_Fall_Rise_Fall_Full|Linear_High|Exponential_Fall_Convex|Sinusoidal_Rise_Fall_Partial|Exponential_Fall_Concave|Sinusoidal_Rise_Fall_Rise_Fall"
"3","8/25/21 9:33","8/25/21 9:47","IP Address",100,850,TRUE,"8/25/21 9:47","R_2VOcJYTc5z9SEbR",NA,NA,NA,NA,40.08180237,-82.96649933,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience",NA,NA,NA,NA,NA,NA,"",12,10,"stressful","18000",84,79,"de-escalating","21000",97,97,"relaxed","22000",63,63,"consistent","20000",8,7,"dread","17000",34,28,"building","19000",87,83,"de-escalating","20000",26,37,"building","19000",76,74,"falling","19000",25,22,"upsetting","17000",19,25,"building","19000",79,80,"calming","20000",87,88,"calming","20000",15,19,"rollercoaster","18000",19,20,"rollercoaster","19000",34,37,"Whirlwind","18000",24,22,"up-and-down","19000",26,28,"Rollercoaster","19000",36,30,"rollercoaster","18000",25,27,"plateau","18000",85,82,"falling","19000",14,24,"unsettling","19000",67,65,"typical","20000",72,75,"typical","20000",57,62,"calming","19000",83,83,"typical","20000",25,19,"strange","16000","Customer Touchpoint","Happiness","Satisfaction","Male",NA,"White","","30","College Graduate (4 year)","","You asked what was labeled on the Y axis, and it was ""stress"" but that wasn't an option at the end, so I selected happiness.","lifelines_e3","Sinusoidal_Fall_Rise_Fall_Full|Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Rise_Fall_Full|Linear_Rise|Negative_Change_Full|Sinusoidal_Rise_Fall_Rise_Fall|Linear_High|Linear_Low|Positive_Change_Partial|Exponential_Fall_Convex|Sinusoidal_Rise_Fall_Rise_Full|Linear_Rise_Sharp_Fall|Sinusoidal_Fall_Rise_Full|Linear_Rise_Sharp_Fall_Exponential_Rise|Sinusoidal_Rise_Fall_Partial|Negative_Change_Partial|Positive_Change_Full|Sinusoidal_Fall_Rise_Partial|Linear_Fall|Logistic_Rise|Exponential_Rise_Concave|Linear_Middle|Logistic_Fall|Exponential_Rise_Convex|Exponential_Fall_Concave|Sinusoidal_Rise_Fall_Rise_Partial|Sinusoidal_Fall_Rise_Fall_Partial"
"4","8/25/21 9:51","8/25/21 10:05","IP Address",100,845,TRUE,"8/25/21 10:05","R_1IauVa6frjTcvIH",NA,NA,NA,NA,28.04750061,-82.6147995,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience",NA,NA,NA,NA,NA,NA,"",90,100,"Desirable","20000",10,0,"downhill","5000",0,0,"Miserable","2000",50,50,"neutral","18000",100,100,"Exceptional","22000",80,90,"exponential","20000",5,0,"awful","4000",95,100,"inspiring","21000",55,40,"nosedive","17000",75,55,"patient","19000",70,60,"Improving","18000",24,5,"failed","8000",35,10,"unfortunate","10000",70,55,"chaos","18000",65,45,"redemption","17000",40,25,"unsure","15000",35,10,"unexpected","8000",65,55,"wild","17000",10,0,"rollercoaster","6000",60,40,"unstable","16000",20,4,"unlasting","6000",70,50,"unexpected","18000",46,30,"unexpected","14000",45,15,"disappointing","12000",50,45,"disappointing","16000",20,5,"lowly","4000",71,50,"hiccup","18000","Happiness","Customer Touchpoint","Satisfaction","Male",NA,"Mixed","","24","Some College","","","lifelines_e3","Sinusoidal_Rise_Fall_Rise_Fall|Sinusoidal_Fall_Rise_Partial|Linear_Middle|Linear_Low|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Fall_Rise_Full|Linear_Rise|Negative_Change_Partial|Linear_Fall|Exponential_Rise_Convex|Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Fall_Rise_Fall_Full|Exponential_Rise_Concave|Sinusoidal_Rise_Fall_Partial|Positive_Change_Full|Sinusoidal_Fall_Rise_Fall_Partial|Exponential_Fall_Convex|Linear_Rise_Sharp_Fall_Exponential_Rise|Logistic_Rise|Negative_Change_Full|Logistic_Fall|Linear_Rise_Sharp_Fall|Sinusoidal_Rise_Fall_Full|Sinusoidal_Rise_Fall_Rise_Partial|Positive_Change_Partial|Linear_High|Exponential_Fall_Concave"
"5","8/25/21 9:55","8/25/21 10:09","IP Address",100,869,TRUE,"8/25/21 10:09","R_cD4zCxjr637b6vv",NA,NA,NA,NA,29.70069885,-91.26709747,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,20,60,"They were highly stressed both early in their customer experience and later in their customer experience",0,0,82.012,0,60,60,"They were highly stressed early in their customer experience, then highly unstressed later in their customer experience",65,69,"very valuable","15000",47,48,"very valuable","15000",64,68,"very valuable","15000",72,70,"very valuable","150000",55,73,"very well","20000",60,62,"very valuable","15000",68,71,"very valuable","15000",51,58,"very valuable","20000",73,73,"very valuable","15000",75,63,"very valuable","50000",65,73,"very valuable","15000",65,72,"well","20000",49,55,"very valuable","150000",47,60,"very valuable","15000",58,63,"very valuable","12000",50,64,"very valuable","150000",60,62,"very valuable","50000",56,69,"very well ","20000",74,71,"very valuable","15000",70,83,"very valuable","15000",58,60,"very valuable","15000",49,68,"very valuable","15000",79,63,"very valuable","15000",66,67,"very valuable","15000",70,63,"very valuable","15000",62,59,"very valuable","15000",58,67,"very valuable","15000","Happiness","Customer Touchpoint","Happiness","Female",NA,"White","","30","Masters Degree (MS)","","well","lifelines_e3","Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Rise_Fall_Full|Linear_High|Exponential_Rise_Concave|Exponential_Fall_Concave|Sinusoidal_Rise_Fall_Partial|Sinusoidal_Fall_Rise_Fall_Full|Sinusoidal_Fall_Rise_Partial|Sinusoidal_Rise_Fall_Rise_Partial|Positive_Change_Partial|Negative_Change_Partial|Linear_Fall|Logistic_Fall|Sinusoidal_Fall_Rise_Full|Linear_Rise_Sharp_Fall|Sinusoidal_Rise_Fall_Rise_Full|Exponential_Rise_Convex|Positive_Change_Full|Linear_Rise_Sharp_Fall_Exponential_Rise|Sinusoidal_Fall_Rise_Fall_Partial|Linear_Middle|Negative_Change_Full|Exponential_Fall_Convex|Linear_Rise|Linear_Low|Sinusoidal_Rise_Fall_Rise_Fall|Logistic_Rise"
"6","8/25/21 9:52","8/25/21 10:14","IP Address",100,1344,TRUE,"8/25/21 10:14","R_5i5QEDUHSCrbT8d",NA,NA,NA,NA,28.03179932,-80.59580231,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed both early in their customer experience and later in their customer experience",0,0,82.122,0,0,80,"They were highly stressed early in their customer experience, then highly unstressed later in their customer experience",88,90,"increase more like it","16000",75,66,"last stage is not good","13000",20,13,"Not like it","0",94,83,"to care same","18000",100,100,"good","20000",9,11,"not contact next time","14000",17,25,"Not good","3000",85,88,"this is must better","17000",84,83,"day to day not like it","15000",82,72,"This is most good","14000",100,82,"definitely like day to day.","16000",65,84,"go the cool moment in one time","12000",55,58,"slightly decrease","12000",61,69,"low to high experience","10000",36,32,"not satisfied the customer care","13000",24,26,"definitely not like the customer service.","15000",97,67,"sometime to like it","15000",49,63,"this is cool and calm","13000",53,27,"Low to high","10000",83,88,"day to day more like it ","16000",29,22,"this is not fair","8000",74,57,"Not good","4000",68,54,"day to day like it","14000",64,71,"go to high","9000",77,76,"Increase more good.","14000",36,22,"this is not good","4000",91,83,"to feel is good","14000","Happiness","Customer Touchpoint","Satisfaction","Male",NA,"White","","40","College Graduate (4 year)","","None","lifelines_e3","Sinusoidal_Fall_Rise_Fall_Full|Exponential_Rise_Convex|Sinusoidal_Rise_Fall_Rise_Partial|Sinusoidal_Fall_Rise_Fall_Partial|Sinusoidal_Fall_Rise_Partial|Linear_Rise_Sharp_Fall_Exponential_Rise|Linear_Middle|Exponential_Fall_Concave|Linear_Rise|Linear_Low|Linear_Rise_Sharp_Fall|Logistic_Rise|Positive_Change_Full|Linear_High|Positive_Change_Partial|Sinusoidal_Fall_Rise_Full|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Rise_Fall_Full|Exponential_Fall_Convex|Sinusoidal_Rise_Fall_Partial|Sinusoidal_Rise_Fall_Rise_Fall|Negative_Change_Partial|Exponential_Rise_Concave|Logistic_Fall|Linear_Fall|Negative_Change_Full|Sinusoidal_Fall_Rise_Fall_Rise"
"7","8/25/21 9:56","8/25/21 10:20","IP Address",100,1412,TRUE,"8/25/21 10:20","R_2Cv0LTV7cybfM5b",NA,NA,NA,NA,40.67640686,-73.87529755,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience",NA,NA,NA,NA,NA,NA,"",100,100,"Good","20000",5,5,"Poor","5000",0,0,"Bad","5000",65,64,"average","12000",100,100,"Excellent","25000",51,51,"fair","15000",0,10,"Bad","15000",64,68,"Good","18000",81,81,"Good","20000",66,67,"Fair","17000",66,68,"Fair","17000",50,50,"Fair","15000",40,40,"Fair","12000",60,60,"fair","12000",50,40,"Fair","15000",50,50,"Fair","10000",62,67,"average","18000",51,51,"fair","15000",55,56,"fair","18000",50,50,"Average","10000",49,50,"Fair","15000",71,73,"Fair","18000",56,56,"Fair","12000",50,50,"fair","12000",79,83,"Fair","18000",38,38,"poor","12000",70,70,"Good","18000","Happiness","Customer Touchpoint","Satisfaction","Female",NA,"White","","28","College Graduate (4 year)","","","lifelines_e3","Exponential_Fall_Convex|Linear_Low|Linear_Rise|Negative_Change_Partial|Sinusoidal_Rise_Fall_Rise_Partial|Linear_High|Positive_Change_Full|Sinusoidal_Rise_Fall_Full|Sinusoidal_Fall_Rise_Partial|Linear_Rise_Sharp_Fall_Exponential_Rise|Logistic_Rise|Sinusoidal_Fall_Rise_Full|Linear_Fall|Sinusoidal_Fall_Rise_Fall_Full|Sinusoidal_Rise_Fall_Partial|Positive_Change_Partial|Linear_Rise_Sharp_Fall|Logistic_Fall|Exponential_Rise_Concave|Negative_Change_Full|Sinusoidal_Rise_Fall_Rise_Full|Linear_Middle|Exponential_Fall_Concave|Sinusoidal_Fall_Rise_Fall_Partial|Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Rise_Fall_Rise_Fall|Exponential_Rise_Convex"
"8","8/25/21 9:59","8/25/21 10:20","IP Address",100,1217,TRUE,"8/25/21 10:20","R_3QLFAPARtXEQywX",NA,NA,NA,NA,39.75010681,-104.995697,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience",NA,NA,NA,NA,NA,NA,"",80,74,"good","20000",36,4,"bad","16000",0,0,"worst","12000",69,59,"average","20000",100,100,"great","21000",92,87,"happy","20000",24,6,"bad","15000",85,79,"nice","20000",15,0,"bad","15000",69,58,"mixed","20000",84,71,"happy","20000",17,2,"bad","16000",24,4,"bad","15000",57,53,"mixed","19000",64,65,"mixed","19000",22,17,"bad","16000",29,18,"bad","16000",56,44,"mixed","20000",29,11,"bad","16000",73,73,"good","20000",35,6,"bad","16000",78,70,"mixed","20000",40,29,"average","19000",16,5,"bad","15000",52,52,"average","19000",20,11,"bad","16000",78,79,"happy","20000","Happiness","Customer Touchpoint","Happiness","Male",NA,"White","","32","College Graduate (4 year)","","","lifelines_e3","Linear_Rise_Sharp_Fall_Exponential_Rise|Exponential_Fall_Concave|Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Rise_Fall_Full|Negative_Change_Full|Exponential_Rise_Concave|Sinusoidal_Fall_Rise_Full|Positive_Change_Full|Sinusoidal_Fall_Rise_Partial|Exponential_Rise_Convex|Exponential_Fall_Convex|Linear_Fall|Linear_Low|Sinusoidal_Rise_Fall_Rise_Partial|Linear_High|Linear_Middle|Sinusoidal_Rise_Fall_Partial|Logistic_Fall|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Partial|Negative_Change_Partial|Sinusoidal_Fall_Rise_Fall_Full|Positive_Change_Partial|Linear_Rise|Logistic_Rise|Linear_Rise_Sharp_Fall|Sinusoidal_Rise_Fall_Rise_Fall"
"9","8/25/21 10:06","8/25/21 10:21","IP Address",100,881,TRUE,"8/25/21 10:21","R_3GjsiB5nkgK086O",NA,NA,NA,NA,37.25320435,-80.43470001,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience",NA,NA,NA,NA,NA,NA,"",68,66,"improvement","18000",13,0,"regretful","5000",0,0,"miserable","0",50,39,"mediocre","15000",100,100,"perfect","20000",68,58,"improving","18000",21,0,"downward","5000",81,77,"pleased","20000",66,8,"dropped","10000",77,58,"dipped","15000",64,57,"repaired","15000",35,0,"bell","5000",46,0,"negative","0",64,43,"dipping","10000",62,53,"repaired","15000",25,0,"rollercoaster","5000",31,0,"peaked","0",15,0,"rollercoaster","5000",24,0,"rollercoaster","5000",58,52,"improved","15000",34,1,"disappointing","5000",64,31,"resolved","15000",39,27,"confusing","10000",27,1,"weird","5000",72,29,"confusing","10000",13,0,"disappointing","0",64,34,"challenging","18000","Happiness","Customer Touchpoint","Satisfaction","Female",NA,"White","","33","College Graduate (4 year)","","","lifelines_e3","Sinusoidal_Rise_Fall_Rise_Fall|Negative_Change_Partial|Linear_Rise_Sharp_Fall_Exponential_Rise|Linear_Middle|Exponential_Rise_Convex|Logistic_Fall|Exponential_Fall_Convex|Linear_Fall|Exponential_Fall_Concave|Sinusoidal_Fall_Rise_Full|Linear_Rise|Negative_Change_Full|Sinusoidal_Rise_Fall_Full|Sinusoidal_Fall_Rise_Fall_Rise|Linear_Low|Sinusoidal_Fall_Rise_Fall_Full|Linear_High|Exponential_Rise_Concave|Positive_Change_Partial|Sinusoidal_Rise_Fall_Rise_Full|Positive_Change_Full|Logistic_Rise|Sinusoidal_Fall_Rise_Partial|Linear_Rise_Sharp_Fall|Sinusoidal_Rise_Fall_Partial|Sinusoidal_Rise_Fall_Rise_Partial|Sinusoidal_Fall_Rise_Fall_Partial"
"10","8/25/21 10:11","8/25/21 10:23","IP Address",100,707,TRUE,"8/25/21 10:23","R_2xPGrtXXJHJ0l71",NA,NA,NA,NA,34.95410156,-78.73950195,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in their customer experience, then highly stressed later in their customer experience",NA,NA,NA,NA,NA,NA,"",100,100,"streamlined","20000",0,0,"failure","0",0,0,"apathy","0",50,50,"metronome","15000",100,100,"expert","25000",90,90,"buildup","20000",0,0,"disappointment","0",100,100,"steady","20000",0,0,"diminishing","0",70,70,"saved","15000",70,17,"workman-like","20000",19,0,"rollercoaster","0",0,0,"untrustworthy","0",75,70,"finally","18000",90,70,"unreliable","17500",0,0,"abysmal","0",0,0,"failure","0",51,0,"confusion","0",0,0,"runaround","0",75,75,"slow","18000",0,0,"empty","0",60,50,"faulty","15000",0,0,"ignored","0",40,0,"drop","0",40,0,"subpar","0",0,0,"unfulfiled","0",100,75,"exuberance","20000","Happiness","Customer Touchpoint","Satisfaction","Male",NA,"Black","","47","College Graduate (4 year)","","","lifelines_e3","Linear_Rise_Sharp_Fall_Exponential_Rise|Exponential_Fall_Convex|Linear_Low|Sinusoidal_Fall_Rise_Partial|Positive_Change_Full|Sinusoidal_Rise_Fall_Full|Linear_Rise|Sinusoidal_Rise_Fall_Rise_Fall|Logistic_Fall|Negative_Change_Partial|Exponential_Fall_Concave|Sinusoidal_Fall_Rise_Fall_Rise|Linear_Fall|Linear_High|Linear_Rise_Sharp_Fall|Exponential_Rise_Convex|Logistic_Rise|Sinusoidal_Fall_Rise_Fall_Full|Sinusoidal_Rise_Fall_Partial|Sinusoidal_Fall_Rise_Fall_Partial|Negative_Change_Full|Sinusoidal_Fall_Rise_Full|Sinusoidal_Rise_Fall_Rise_Partial|Exponential_Rise_Concave|Positive_Change_Partial|Linear_Middle|Sinusoidal_Rise_Fall_Rise_Full"
