"plot_names","words"
"linear_rise","amazing, appreciative, ascending, average, awesome, better, building, climb, complete, contented, convinced, decent, delightful, dependant, desirable, disappointing, disgusted, earned, encouraging, eventual, excellent, exceptional, excitement, exciting, exhilarated, failure, fair, fine, flustered, fulfilling, gaining, good, gradual, great, growing, growth, happiness, happy, horrid, hurtful, impressed, impressive, improved, improvement, improving, inclining, increase, increasing, joy, linear, nice, ok, okay, overload, perfect, pleasant, pleased, prefect, progressing, progression, proper, reassuring, redeeming, reedeming, relatibvely, relieved, resolute, resolved, responsive, rewarding, rising, rocketing, satisfaction, satisfied, satisfying, smooth, sold, steady, straight, streamlined, stressed, stressful, success, successful, superb, surprising, terrible, thrilled, upward, upwards, valued, worse"
"linear_fall","addressed, alleviated, average, awful, bad, bait, better, bungled, chaotic, crushing, decent, decline, declining, deflating, degrading, depressed, descending, deteriorate, deteriorating, devastating, devolving, disappointed, disappointing, disappointingg, disappointment, disgruntled, disgusted, disheartening, dismal, dissatisfying, down, downfall, downhill, drastic, dreadful, dropped, expensive, failing, failure, fair, falling, falsified, finished, freefall, frustrated, frustrating, gradual, happy, heartbreaking, horrible, horrid, horrifying, horror, improved, inconstant, intolerable, irritating, last, lousy, lucky, mad, miserable, negative, nightmarish, nonperformance, nosedive, overdone, plummeting, poor, progressive, reassured, regression, regretful, rejecting, relieved, repulsed, resolute, revolted, sickening, stressed, stressful, subpar, tasteless, terrible, there, unfulfilled, unhappy, uninterested, unpleasant, unsatisfactory, unsatisfied, unsatisfying, upsetting, very, waste, worest, workable, worse, worsened, worsening, worst, yucky"
"linear_low","abysmal, agonizing, amazing, ambivalent, anger, angry, apathy, atrocious, aweful, awful, bad, best, boring, constant, crushed, deadly, depressing, despairing, devastating, disappointed, disastrous, disatisfying, disgusted, disgusting, dispirited, displeasure, dissatisfied, doa, dormant, easy, enraged, failed, failure, fantastic, flat, garbage, great, horrible, horrid, horrific, horrifying, humiliating, irritated, joke, low, miserable, nightmare, not, nothing, pathetic, perfect, pleasurable, poor, regret, rejecting, sad, satisfied, sure, terrible, there, tragic, transparent, trying, unacceptable, undesirable, unhappy, unimpressive, uninterested, unpleasant, unprofessional, unsatisfactory, unsatisfied, unsatisfying, untroubled, wearisome, worest, worryfree, wors, worst, worthless, worthlss"
"linear_middle","acceptable, adequate, almost, alright, ambivalent, appeased, average, awesome, blah, bland, boring, calm, carefree, consistant, consistency, consistent, content, decent, dull, equal, even, expected, fair, fine, flat, frustrated, good, handled, happy, hard, indifferent, its, lacking, level, marginal, measured, median, mediocre, meh, metronome, middle, middling, midrange, neither, netural, neutral, normal, ok, okay, ordinary, passable, plain, predictable, satisfactory, satisfied, satisfying, simple, solid, stable, steady, tedious, to, typical, unchanging, unconcerned, unconvinced, uneventful, unimpressed, uninterested, unremarkable, unsatisfied, unsatisfying"
"linear_high","accomplished, agonizing, amazing, awesome, beautiful, best, bliss, consistent, constant, deficient, delightful, depressing, desirable, disturbing, drugged, ecstatic, elated, elation, euphoric, excellent, exceptional, excited, exciting, exemplary, exhilarating, exicited, expert, extremtly, fabulous, fantastic, favorable, furious, good, grand, great, happy, ideal, immaculate, incredible, infuriating, nightmarish, optimal, outstanding, overjoyed, perfect, perfection, positive, predictable, reliable, remarkable, satisfied, satisfying, solid, steady, stellar, stupendous, superb, superior, terrible, thrilled, tremendous, unique, useless, utopian, wonderful, worse, worst, yeehaw"
"exp_rise_convex",", acceptable, acquired, amazing, anticipatory, anxiety, ascending, average, awesome, awful, better, buildup, cautious, challenging, contented, convinced, convincing, decent, delighted, disappointing, disgusted, earned, easy, elated, encouraging, enjoyable, escalated, eventual, example, excited, expensive, exponential, extreme, fair, fantastic, frustrated, frustrating, good, gradual, gratified, gratifying, great, happy, hard, hardsell, hopeful, hopeless, horrible, improved, improvement, improving, inadequate, incline, increasing, informed, late, like, misleading, needed, neutral, nice, not, ok, okay, outstanding, overwhelming, pleasant, pleased, progress, progression, progressive, reassured, redeeming, relieving, resolved, revitalizing, rewarding, rising, satisfactory, satisfied, satisfying, skeptical, smooth, solid, splendid, stresses, stressfull, surprise, surprising, sweetened, swelling, swoop, tiring, tolerable, unresolved, upeard, uphill, upward, wonderful"
"exp_fall_convex",", abysmal, anger, angry, anguish, anticlimactic, average, awful, bad, bitter, boring, broken, confident, consistency, crashing, crushing, declined, declining, decrease, defeated, deflating, despair, destressing, diminishing, disappointed, disappointing, disappointment, disaster, disgruntled, disheartening, dissapointed, dissapointing, diving, down, downfall, downhill, downward, dying, effective, failing, failure, fall, falling, favorable, fizzle, frustrated, frustrating, good, horrible, horrid, humiliating, improving, indifferent, letdown, lost, mad, negative, neutral, nightmarish, not, overwhelming, pessimistic, pitiful, poor, regression, regret, rejecting, relief, resolved, sad, satisfactory, satisfied, satisfying, shameful, sinking, smooth, solver, soothing, stressful, swoop, terrible, tragic, turnoff, unacceptable, unconvinced, unfair, unhappy, unjust, unsatisfactory, unsatisfied, unsatisfying, upsetting, worrier, worse, worsening, yielding"
"exp_rise_concave","allured, amazing, anticipatory, awesome, awful, bad, better, changing, climbing, competent, content, convinced, curve, disgusted, enjoyable, escalate, excellent, excited, exciting, fantastic, favorable, frustrating, fulfilling, glad, good, gradual, grateful, great, growing, happy, heard, helpful, horrible, horrific, hostile, ideal, impressed, improved, improvement, improving, incline, increase, increasing, inspiring, joyful, logarithmic, moody, mounting, needed, normal, okay, optimistic, passable, perfect, pleasant, pleased, pleasing, positive, progress, progression, refreshing, rewarding, satisfied, satisfying, satsfied, smooth, solid, splendid, steady, stressed, successful, super, superb, surprising, tenacious, terrible, terrific, this, uphill, upset, upward, well, wonderful"
"exp_fall_concave",", alright, angry, average, awful, bad, beneficial, broken, calmed, catastrophe, crappy, crash, crashing, cratered, crushing, day, death, decaying, deceptive, decline, declined, declining, decrease, decreasing, deflated, demoralizing, deplorable, deteriorating, determined, diminishing, disapointing, disappointed, disappointing, disappointment, disaster, discouraging, disgusting, disillusioned, dismayed, disppointing, dissapointing, dissatisfied, dissatisfying, distressing, down, downfall, downhill, dropped, eventual, failed, failing, failure, faithful, fall, freefall, frustrating, glad, good, great, happy, horrible, horrifying, hype, inferior, lackluster, letdown, low, negative, nightmare, nosedive, offputting, okay, painful, pissed, plummeting, poor, precipitous, regret, resolved, sad, satisfied, solver, steep, stressed, successful, surprising, tanked, terrible, toppling, tragic, tricked, unfulfilling, unhappy, unimpressed, unremarkable, unsatisfactory, unsatisfied, untrusted, upsetting, worst, yikes"
"sin_fr_full",", acceptable, adequate, alright, angry, anxious, appeased, average, bad, balanced, better, boomerang, boost, bummer, canyon, cavern, chaotic, comeback, complete, confusing, contentment, convinced, curved, cyclical, decent, delighted, difficult, dip, dipped, dipping, disappointed, disapproval, distrustful, downhill, dramatic, enduring, eventually, fair, fine, flexible, fluctuating, frustrating, games, good, gratifying, great, hectic, hilly, horrible, improved, improving, inconsistent, increasing, irritating, issues, long, low, manic, manipulated, manipulative, mediocre, middling, midpoint, miscommunication, miserable, mixed, moderate, ok, okay, overall, patient, positive, problematic, random, rebounding, recovered, recovering, redeemed, redeeming, regular, relieved, relieving, repaired, rollercoaster, sabotaged, sad, satisfactory, satisfied, satisfying, saved, shaky, slippery, slow, sold, soso, stressful, successful, surprising, suspicious, tenacious, terrible, this, thrilling, uneven, unreliable, unstable, unsteady, unsure, uplifted, wave, wavy, well, works, worried, worthwhile"
"sin_fr_partial","adequate, average, awesome, bad, better, blooming, changed, clear, comeback, comforted, competent, confusing, content, convinced, decent, definitely, difficult, disgusted, enhanced, enjoyable, even, eventual, exciting, fair, fantastic, fine, frustrating, good, gratifying, great, happy, highs, improved, improvement, improving, indifferent, inferior, mended, mixed, moderately, natural, nice, normal, not, ok, okay, optimistic, optomistic, outcome, peaked, perfessional, pleasant, polarizing, positive, practical, progressive, promising, quality, reassured, rebirth, recovered, redeemed, rejuvenated, repaired, resolved, right, rising, rollercoaster, rolling, salvaged, satisfactory, satisfied, satisfying, seduced, skeptic, sloped, soaring, standard, stressed, superb, suspicious, tepid, the, tiring, turmoil, typical, uncertain, unique, unpredictable, unstable, unwanted, uphill, uplifting, upswing, upward, variable, varied, victory, wave, well, won, workmanlike, worrisome, worrying, worsen"
