StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_response,att_check_1,att_check_2,att_check_3_1,att_check_3_2,att_check_3_3,att_check_4,comp_check_1,comp_check_2,comp_check_3,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,comp_check_4,comp_check_5,comp_check_6,lrsfer_satisfy_1,lrsfer_preference_1,lrsfer_word_gen_1,lrsfer_pay,rank_data_1,rank_data_2,rank_data_16,rank_data_3,rank_data_17,rank_data_18,rank_data_19,rank_data_15,rank_data_6,rank_data_9,rank_data_10,rank_data_11,rank_data_DO_1,rank_data_DO_2,rank_data_DO_16,rank_data_DO_3,rank_data_DO_17,rank_data_DO_18,rank_data_DO_19,rank_data_DO_15,rank_data_DO_6,rank_data_DO_9,rank_data_DO_10,rank_data_DO_11,comp_check_7,comp_check_8,comp_check_9_1,comp_check_9_3,comp_check_9_7,comp_check_9_2,comp_check_9_4,comp_check_9_5,comp_check_9_8,comp_check_9_9,comp_check_9_10,comp_check_9_6,comp_check_9_11,comp_check_9_12,comp_check_9_13,gender,gender_4_TEXT,ethnicity,ethnicity_5_TEXT,age,education,education_9_TEXT,comments,StudyID
5/23/22 8:11,5/23/22 8:15,0,70.229.208.176,100,211,1,5/23/22 8:15,R_1jVPRIXST8e1XpS,,,,,38.0004,-121.3105,anonymous,EN,1,2,2,,,,,5,1,2,,,,,,,,59,41,Enough,20000,5,8,1,2,3,4,10,11,9,7,12,6,8,2,10,11,9,1,6,7,5,4,12,3,1,2,,,,,,,,,,,,,1,1,,1,,24,4,,,lifelines_e6
5/23/22 8:10,5/23/22 8:15,0,71.29.187.22,100,285,1,5/23/22 8:15,R_cIRprwILwyoYOEF,,,,,37.8868,-84.5667,anonymous,EN,1,2,2,,,,,5,1,2,,,,,,,,75,70,adequate,15000,5,7,4,6,1,8,3,2,9,11,10,12,5,11,2,4,3,7,12,1,9,6,8,10,1,2,,,,,,,,,,,,,1,1,,1,,32,2,,,lifelines_e6
5/23/22 8:10,5/23/22 8:15,0,184.152.226.168,100,293,1,5/23/22 8:15,R_3FeWNaLMezqJ0tz,,,,,40.738,-73.9858,anonymous,EN,1,2,2,,,,,5,1,2,,,,,,,,72,58,satisfactory,17000,8,3,11,9,1,2,12,10,6,4,5,7,8,3,11,9,2,1,12,10,6,4,5,7,1,2,,,,1,,,,,,1,,,,2,,4,,37,5,,No,lifelines_e6
5/23/22 8:10,5/23/22 8:16,0,202.182.64.186,100,329,1,5/23/22 8:16,R_1NaZQ7uJz9Pg0Jy,,,,,40.6446,-73.9743,anonymous,EN,1,2,2,,,,,3,2,2,0,0,82.11,0,5,5,4,46,63,HAPPY,1000,11,7,9,6,3,12,5,4,1,8,10,2,9,7,10,6,4,12,3,5,1,8,11,2,3,4,,,,,,,,,,,,,1,1,,1,,42,5,,,lifelines_e6
5/23/22 8:16,5/23/22 8:21,0,70.63.197.100,100,348,1,5/23/22 8:21,R_1HcLaNBElEwsjlT,,,,,34.3196,-77.9112,anonymous,EN,1,2,2,,,,,5,1,2,,,,,,,,70,80,Fluctuating ,18000,8,3,6,11,5,4,7,9,10,1,12,2,8,9,2,11,6,1,5,12,10,3,7,4,1,2,,,,,,,,,,,,,1,1,,1,,29,5,,,lifelines_e6
5/23/22 8:16,5/23/22 8:22,0,185.115.146.58,100,351,1,5/23/22 8:22,R_6fkfKWltywUIrVD,,,,,39.018,-77.539,anonymous,EN,1,2,2,,,,,4,2,2,0,0,82.009,0,3,4,3,50,65,50,15000,6,10,1,5,9,12,8,3,4,2,11,7,3,11,5,6,8,9,7,2,4,1,12,10,3,3,,1,,,,1,,,,,,1,,1,,1,,42,5,,Thank you,lifelines_e6
5/23/22 8:19,5/23/22 8:23,0,107.77.196.49,100,284,1,5/23/22 8:23,R_28TYED1S4EesG0f,,,,,32.8964,-96.8635,anonymous,EN,1,2,2,,,,,5,1,2,,,,,,,,59,27,Unstable,20000,11,10,1,2,3,7,6,5,4,12,8,9,11,8,2,5,3,9,6,4,7,1,10,12,1,2,,,,,,,,,,1,,,,1,,1,,40,5,,,lifelines_e6
5/23/22 8:20,5/23/22 8:25,0,104.222.95.42,100,282,1,5/23/22 8:25,R_31T9CFrMCfXAq9r,,,,,42.0713,-94.8746,anonymous,EN,1,2,2,,,,,5,1,2,,,,,,,,75,69,Decent,20000,7,8,1,6,5,9,4,3,2,12,10,11,5,7,9,2,1,12,4,3,6,11,8,10,1,2,,,,,,,,,,,,,1,2,,1,,31,5,,,lifelines_e6
5/23/22 8:23,5/23/22 8:28,0,75.4.216.39,100,262,1,5/23/22 8:28,R_3ilKIrKcQgFhsLU,,,,,34.0034,-84.4605,anonymous,EN,1,2,2,,,,,5,1,2,,,,,,,,0,0,unacceptable.,0,7,6,12,10,2,3,1,5,4,8,9,11,7,8,12,9,5,1,3,10,6,2,4,11,2,2,,,,,,,,,,,,,1,2,,1,,40,5,,,lifelines_e6
5/23/22 8:53,5/23/22 8:57,0,74.122.61.60,100,243,1,5/23/22 8:57,R_2QuCPmsuD3nWmlf,,,,,39.0469,-77.4903,anonymous,EN,1,2,2,,,,,5,1,2,,,,,,,,71,37,good,2000,5,2,4,1,7,11,9,6,10,3,12,8,10,3,12,9,2,5,8,4,7,6,11,1,3,1,,,1,,,,,,,,,,,2,,1,,29,5,,It was good to complete this study.,lifelines_e6
5/23/22 8:51,5/23/22 9:02,0,69.127.161.171,100,655,1,5/23/22 9:02,R_31bFQykTZ1yCuzJ,,,,,40.8703,-73.8525,anonymous,EN,1,2,2,,,,,5,5,4,0,0,82.013,0,1,5,1,82,71,smooth,"15,000",3,4,2,1,5,6,7,9,8,11,10,12,1,12,7,3,6,11,5,2,4,9,8,10,1,2,1,1,1,,,1,1,1,1,1,,,,2,,1,,23,4,,no comments,lifelines_e6
5/23/22 8:58,5/23/22 9:03,0,172.58.77.123,100,279,1,5/23/22 9:03,R_3RkhvuZQdud3svq,,,,,36.1788,-115.1715,anonymous,EN,1,2,2,,,,,5,1,2,,,,,,,,51,20,They only had two times they weren't feeling stressed.,"20,000",7,6,9,8,3,4,2,1,5,12,10,11,10,7,12,9,3,2,4,1,6,11,5,8,2,4,,,,,,,,,,,,1,,2,,1,,29,5,,,lifelines_e6
5/23/22 8:59,5/23/22 9:09,0,24.164.182.15,100,618,1,5/23/22 9:09,R_3RlVDoJ8yrIZ3oS,,,,,41.6181,-74.3266,anonymous,EN,1,2,2,,,,,5,4,2,0,0,82.107,0,1,5,1,45,40,Rollercoaster,15000,5,1,4,9,6,8,3,7,2,11,12,10,7,1,9,8,12,6,5,10,11,3,2,4,1,2,,,,,,,,,,,,,1,1,,1,,32,3,,,lifelines_e6
5/23/22 9:10,5/23/22 9:16,0,73.21.2.18,100,317,1,5/23/22 9:16,R_PwGv2hU7X07YJ45,,,,,31.9948,-81.2335,anonymous,EN,1,2,2,,,,,5,1,2,,,,,,,,15,3,unfavorable,12000,3,4,1,6,8,2,7,9,5,12,11,10,3,4,9,5,12,7,1,2,6,10,11,8,1,2,,,,,,,,,,,,,1,1,,1,,25,2,,none,lifelines_e6
5/23/22 9:21,5/23/22 9:25,0,24.192.184.149,100,284,1,5/23/22 9:25,R_yQMSotfC1BmrFnz,,,,,42.495,-82.9007,anonymous,EN,1,2,2,,,,,5,1,2,,,,,,,,70,50,upward,15000,7,2,1,11,5,9,8,10,6,3,12,4,8,1,4,10,7,9,11,12,5,2,6,3,1,2,,,,,,,,,,,,,1,1,,1,,38,2,,,lifelines_e6
5/23/22 9:21,5/23/22 9:26,0,72.87.118.229,100,297,1,5/23/22 9:26,R_1F5FbMpeMniqZsV,,,,,41.4443,-71.5317,anonymous,EN,1,2,2,,,,,5,1,2,,,,,,,,60,10,bumpy,20000,3,4,1,2,7,10,9,8,6,12,11,5,1,6,8,2,4,10,9,7,3,12,11,5,1,2,,,,,,,,,,1,,,,1,,1,,38,4,,,lifelines_e6
