"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"random",0.993919550016634,1.00650108180138,1.00728525432452,0.977852830254718,1.01720234987475,1.01826562460504,1.02597430321335,0.999820064819918,0.96843740650775,0.987122264198371
"Embeddings",0.952124100012199,0.981070275112154,0.975005284643034,0.950422337134336,0.989026332206024,0.967465626888956,0.978587586785042,0.963398021645283,0.948512640176806,0.959300814002478
"Interestingness",0.993472715381374,1.00884977539019,1.00440243590631,0.976432926680678,1.01911821604288,1.01710947831798,1.02410801876741,0.998612752561278,0.965907973880782,0.986161842696824
"Sentiment Score",0.717187410582594,0.744447984301569,0.755473044991179,0.724201221854197,0.790815194409836,0.777451312273796,0.722147252750667,0.727603845964716,0.69877403524389,0.719972635721293
"Maximum",0.973563176382005,0.961335929578043,0.957836901569702,0.940106091425028,0.971725965042239,0.978461777127114,0.992380521525292,0.971575560413679,0.932699168005208,0.978318614112317
"Minimum",0.942743434969282,0.96398871348281,0.915892754440261,0.951869837317159,0.981800192868861,0.966077726320394,0.951226665443149,0.93964333503173,0.893679174640016,0.924283529844613
"End Value",0.766296386027804,0.801016275298532,0.786146483175387,0.755342768334941,0.804300904922394,0.762088971521715,0.815114627035378,0.788555761191026,0.761615869259507,0.793105013481172
"Number of
Peaks",0.992068235683924,0.985987723010945,0.986510360449202,0.944447094775587,1.01739439347624,1.00531018031234,0.988522281761739,0.975218881664203,0.948797477166647,0.967177090655656
"Number of
Valleys",0.986840375248348,1.00847626594864,1.00673507965276,0.983434100633901,1.00717273664281,1.00937352312612,1.02880187035562,0.993416196655308,0.971051158753197,0.982392742635006
"Number of
Extrema",0.999397534878639,1.00053112150958,1.00307134516755,0.967347923111104,1.025480064705,1.01840881741282,1.01687206353496,0.998670612119324,0.963147855086069,0.985366042467261
"Integral",0.954973946178967,0.920241500079553,0.917811442462948,0.923711407243843,0.952253308234863,0.940056311069273,0.949649257996906,0.942891950385229,0.888146581984556,0.956268457574307
"1st Derivative",0.865926243972302,0.880352079824972,0.906432689236642,0.850587143369905,0.895110897177424,0.869731687908546,0.937819461617729,0.89841521336289,0.853657648602831,0.879980001045212
"1st Derivative
Early",0.897216608371047,0.903719148313906,0.931833333104189,0.883166576907062,0.924277537081642,0.914817075913587,0.968882825902828,0.924499991728503,0.87264770161842,0.901608232879714
"1st Derivative
Ascending",0.857227011986249,0.899863113577298,0.910120309638815,0.851360169245361,0.894599725442788,0.872013474913416,0.929866679563226,0.891956521481423,0.869994988648032,0.878753964193428
"1st Derivative
Descending",0.943390809059931,0.932109968023992,0.961597928437233,0.910520255089802,0.958320012686551,0.944545652710412,0.992816548502004,0.951873748318005,0.901659898979697,0.933021950376559
"1st Derivative
End",0.871255681854199,0.909953004327463,0.916453079509954,0.860843415818388,0.907459863355872,0.880313275706184,0.939884275886064,0.91052768029725,0.873723008214643,0.894774813858503
"2nd Derivative",0.99418115140081,1.00703543857484,1.00734462480718,0.977606958191234,1.01628793913602,1.01801276403637,1.0266610065802,0.999968741435426,0.968585036341013,0.987237706395371
"2nd Derivative
Early",0.995635472425784,1.00557246221843,1.00678073839682,0.975406616674827,1.01591114028774,1.01033574173394,1.023789243912,1.00044201776481,0.966316066758194,0.99214259846208
"2nd Derivative
Ascending",0.994213929294456,0.999806979434836,1.01321346937071,0.978034946679723,1.00986216265452,1.00845590856968,1.02675326280638,0.993803296437708,0.965690890847522,0.983860753282012
"2nd Derivative
Descending",0.988742712187547,1.00483927531309,1.00893644889118,0.978303628016718,1.01135472582486,1.01917139085307,1.0301350494293,0.995306110499538,0.966922532262597,0.979383703975649
"2nd Derivative
End",0.993522190601236,1.00566960515493,1.0076374402808,0.976808187397992,1.01517418433782,1.0114366310532,1.02403510443862,0.999006327642693,0.967593887615747,0.991526184374387
