"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"random",0.0520060181931937,0.026261301328093,0.0270903757926566,-0.0163008864815747,-0.045122654170007,-0.0916646130865594,0.0723896751659931,0.0468391739180168,0.019830773943165,0.00422523659812604
"Embeddings",0.291421699163533,0.226132310339642,0.253310113712766,0.235909107440917,0.233659663241511,0.310195878282947,0.301475683480126,0.26869071310125,0.212330982789425,0.239288677456593
"Interestingness",0.0363921559230365,-0.0238400159636004,0.114945217127497,0.0476293352596638,-0.0324075524235916,0.00135275612561072,0.070109287987481,0.0579905800596794,0.0952239494653048,0.0426597541146113
"Sentiment Score",0.692213999364142,0.674688535552456,0.663277191972965,0.671938601425502,0.628974378972257,0.6446695682124,0.709416676869138,0.688530881828876,0.692710891370598,0.685739613924159
"Maximum",0.211868732366765,0.300372456996914,0.320582032112723,0.27522319997322,0.297098455678681,0.268847201009465,0.25824018936417,0.238037770953224,0.269727009638824,0.179909641494712
"Minimum",0.317291254768631,0.293121819369608,0.425253486259697,0.244819707382032,0.266118959540426,0.313204586052312,0.375185061681849,0.344920851572904,0.388536450294601,0.352249416953101
"End Value",0.634889847748169,0.60582410849123,0.625591907462112,0.634786391569938,0.611570309861031,0.665026169112555,0.605085250355452,0.615150124661674,0.618675536689945,0.595654066043528
"Number of
Peaks",0.107444144692488,0.201936741171673,0.203361129518324,0.266308707047193,0.0947828272642421,0.14972570828918,0.295228414265061,0.22258729570429,0.201254574982807,0.197738057462253
"Number of
Valleys",0.138075419353532,0.0164566522541751,0.0474652173271088,-0.0354082663443328,0.169350628954207,0.128376688671645,0.00687546730243908,0.13142390780432,0.0131987889843042,0.10195346097705
"Number of
Extrema",-0.0196333379234199,0.121226975027631,0.0973669568306713,0.196013969407268,-0.0508363986173709,0.0129056409903889,0.179923418884221,0.0563011287013049,0.112852723336909,0.0603295947957358
"Integral",0.290878670837902,0.411227183361937,0.414642604301581,0.329115491784436,0.349692772970601,0.385682927410992,0.379041913030631,0.33461034924949,0.400884120528505,0.269758712851546
"1st Derivative",0.490677869141962,0.486393573433568,0.437302346454702,0.492785629905941,0.47385758322057,0.522678156918534,0.403600081000042,0.440358632707491,0.473156714810772,0.453380890382898
"1st Derivative
Early",0.430504345157608,0.443473026541421,0.381225246518756,0.428833885799359,0.416221956384849,0.43935130794733,0.330203488039256,0.381141932325833,0.435572331311613,0.4058818196071
"1st Derivative
Ascending",0.504257742799234,0.448740398307968,0.429907237439324,0.491637134206224,0.475170876403371,0.518407270504703,0.420320735288729,0.452588987853027,0.442369128388121,0.456044931028952
"1st Derivative
Descending",0.321274804538902,0.381403078204451,0.300699308660671,0.364580014106506,0.333473271961862,0.373731458831594,0.254506083078542,0.306276935060003,0.366734239895076,0.325596066203338
"1st Derivative
End",0.479380508941801,0.4279999110108,0.41614878858694,0.474582694909836,0.450838867473061,0.506134159716156,0.398440043337317,0.414943603807275,0.433279005798787,0.423194131689723
"2nd Derivative",-0.0774371336081197,-0.0275426610527842,0.0244333360879601,-0.000439436588546512,0.0221228708574326,-0.0981346366058266,-0.0335869861386547,0.0159245101121541,0.00241346556801316,-0.086074814523136
"2nd Derivative
Early",0.00314601430837082,0.0470243440374695,0.0379739241179766,0.0700459348573471,0.0343086003804943,0.189218629720599,0.0690540679813161,0.0206517328193909,0.0719790989994491,-0.0465282577189622
"2nd Derivative
Ascending",0.0443142788211206,0.132831557902172,-0.0320825776733671,0.035794579532327,0.124055540108504,0.146240629669177,0.0277355735846369,0.118850821100147,0.0771666224180386,0.0792558472039494
"2nd Derivative
Descending",0.121284737861091,0.0604274837642899,0.00782932042880506,0.0238953653036072,0.112147920819928,-0.0145843330888173,-0.0238469526244654,0.108181316411809,0.0591651259186744,0.158001942007542
"2nd Derivative
End",0.0389008489767623,0.0451100639178512,0.0192934310998882,0.0402848488647605,0.049617335671868,0.153819288040129,0.0673062710498255,0.0461258702598935,0.0456490080688752,-0.0421928199635863
