"","10","20","30","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"random",1.00118519324853,1.01533287376307,0.981848193567649,1.00036284956143,1.04130540493037,0.980284927272671,1.01775346993466,0.974362698804793,1.00620091741174,0.983310407634822,0.953274811358908,0.991375134853686,0.981005055683303,1.0168595016448,0.996406030732728,1.04363205465077,1.02067991618081,0.989705131704356,1.02572379613702,0.980760990869732,0.998176224082544,1.00977734551635,0.983108537551008,0.999141591320108,0.944941993235431,1.00737461826315,1.04676863332486,1.01053939556269,1.01943031574081,0.979933683516049
"Embeddings",0.960452375246374,0.974784972684955,0.940098295155075,0.988598517318002,0.979292220785147,0.939787329440086,0.997021762771671,0.943043604432681,0.977862294779036,0.96318580443954,0.93714544909967,0.949414984338292,0.940312328893943,0.965055765144066,0.953499332438039,1.00386174900376,0.99283969293608,0.952749317559607,0.991429027324678,0.977222713570167,0.969963182911024,0.985680161666933,0.942026404576604,0.96514017864087,0.931001700085965,0.984407883854784,0.988759515250619,0.976562750831594,0.980880015516982,0.94277654603538
"Interestingness",1.00487081126552,1.0127195159948,0.982603865512049,1.00248925680528,1.03813845914015,0.978390916533033,1.01710784084733,0.972846660906677,1.00273544615766,0.981234405833062,0.954593566974425,0.990686521659447,0.9824668321284,1.01561700972892,0.995181779348082,1.04065354110965,1.02142395291626,0.986692093477713,1.02511467749871,0.978502699626424,0.996762587243236,1.01048830451034,0.979462182929296,0.998531710006912,0.947842142398474,1.00734781113906,1.04370302490231,1.00902520522096,1.02047252989013,0.980826651261895
"Sentiment Score",0.746466248910383,0.72733588852325,0.711737078773216,0.775568026214282,0.749488946097465,0.672330705940774,0.738698460075758,0.735575643214942,0.77619183810706,0.744908194647949,0.748276617105248,0.70427599165877,0.728475191247969,0.730860999376131,0.692295649360743,0.755771495218404,0.762343936314514,0.770148999762969,0.756456432538897,0.731504922659197,0.72513052879607,0.724988719378686,0.717610008970649,0.744273622414579,0.718973870275689,0.742981807920669,0.748013700424255,0.760044533864845,0.727223691965823,0.772622060224597
"Maximum",0.947866342067065,0.988976675065683,0.941348839172495,0.95439251464834,1.01270537604414,0.935609381245102,0.978735547432925,0.941602154599201,0.986427485525213,0.966525777691408,0.930282780999613,0.9720105950751,0.935118092774685,0.966161722054074,0.948881277669617,1.02608613259021,0.97368668436626,0.947787880678941,1.00457883120348,0.947510249245221,0.956378350667912,0.967387947737117,0.954208401955684,0.961461543871911,0.923105926304907,0.960463264577456,1.01200064696571,0.965135609691491,1.01117393781965,0.945007338766136
"Minimum",0.944886150005973,0.950436930300331,0.945455477556208,0.972489247129627,0.946390609891267,0.923710253643072,0.965781468583083,0.899895522057456,0.952508321155962,0.929924638994954,0.906262126114186,0.956019485980012,0.933455272892979,0.958857142844588,0.91376671631943,0.990085971401229,0.969788937556001,0.912156607375766,0.987367500801094,0.898606669506666,0.955647266246342,0.962437392834237,0.904704195111769,0.904506197690254,0.909343416774026,0.933256368166094,0.959127502348819,0.947529965650198,0.99755799121642,0.958241020382026
"End Value",0.771641859543104,0.788466829959162,0.757828129492558,0.807435485879518,0.786832938329865,0.773715354657476,0.805387951573089,0.746295407809708,0.838406043713054,0.756888286793135,0.797076280856189,0.769547584748541,0.758023317099588,0.731881567502723,0.750971554212205,0.826891636060336,0.817414715396099,0.761879151279431,0.825406678785225,0.793091646322451,0.793847927132778,0.767378965211949,0.808422962152453,0.791501338897887,0.755673486619095,0.736488925784493,0.787222495689361,0.798264139799765,0.789097392025666,0.808415361499505
"Number of
Peaks",0.975190836168619,0.988552887526464,0.977005602513356,0.977879367569145,1.01848156322686,0.963800291659809,1.00257163659309,0.960161580479591,0.99074569495648,0.954582877299036,0.946368393041952,0.975230492960501,0.972396374281652,0.992481767391228,0.959846142988742,1.02653816238206,1.00498979580839,0.974652993990023,0.998961307734581,0.958122034030478,0.963722038352036,0.979409631166793,0.966936540447996,0.994396170842626,0.952231772841546,0.986339269346761,1.02768464613725,0.988200380915854,1.00058242516494,0.95430546892006
"Number of
Valleys",0.997434455267197,1.01114642312469,0.985095220122079,1.00041730702238,1.03462255868088,0.972259400139916,1.01298314221888,0.971854283424017,1.00311536032882,0.984358141722965,0.952177456362849,0.9824093503749,0.975382124327095,1.01292598593089,0.993866207945139,1.03917154338955,1.02319788118702,0.987038326511493,1.02386416349403,0.981914160401778,1.0051538868664,1.01392042022785,0.984460555520082,0.994095621996643,0.940340854714554,0.999703328167225,1.04386066532477,1.00224010454693,1.01569591768719,0.977109546321322
"Number of
Extrema",0.997294768357009,1.01054194270438,0.979012587161766,0.995443089478513,1.03996018468466,0.979108610193173,1.01718388699737,0.973158320856591,1.00292335139456,0.976505333411583,0.95184621552854,0.994425084128296,0.982968232960617,1.01295918707144,0.989457800653225,1.04118784010884,1.01476315498105,0.988068701106535,1.02053555815896,0.975199518098466,0.98741787582516,1.00192286072746,0.977800055249001,1.00295850886268,0.950864544451026,1.00727729027512,1.04441250578982,1.01170558774898,1.01809657343438,0.974743283537732
