"","10","20","30","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"random",0.0906132994949879,-0.0483967113429932,0.024455403280325,0.0352599942866793,-0.0114965372755726,-0.0896183465336378,0.067462370376822,0.028046859180766,-0.0608538540198245,0.0612999956535979,-0.00317323897330472,-0.00260455701611667,-0.110569046104582,-0.0183148007637596,0.0235055540023175,-0.0564603847604518,-0.0379594052234858,0.0112897745768832,0.062644064987661,0.00165800901738928,-0.000599628892457434,0.0458006751956843,-0.0117201865679355,0.0574338365632607,0.0510147960642775,0.00183047444965093,0.0089162714172959,0.0159351103058194,0.0156628895386518,-0.0143982845749568
"Embeddings",0.282136405782057,0.279452363985447,0.288539535601114,0.173393140014144,0.36118023935951,0.278166745859859,0.205624459353259,0.252756470211321,0.232489078819794,0.205110215571674,0.199761623192964,0.2870387940231,0.287137866748898,0.325221878731881,0.294589883789471,0.268857409117218,0.22865466136369,0.267776223441797,0.258094609421013,0.148398915772173,0.233747330393453,0.222915150095465,0.282992324225188,0.262014611655134,0.19272996692113,0.221143020230854,0.347135087239693,0.261483514879851,0.282361062956695,0.27123045060959
"Interestingness",-0.0542637935458001,0.0669810397834981,0.0119628379274077,-0.0187776644001795,0.104486246305226,0.0175304701476419,0.041988625109866,0.0649692323535837,0.0801258545287108,0.0808650789796427,-0.00841026362196512,0.0320552453679451,-0.0172325444545995,0.0505431683317813,0.0569853912633218,0.070520302855591,-0.0133849299058609,0.0990111864606421,0.0378863964572198,0.0780924817098859,0.0400977907836295,0.0172799783328289,0.108323066768166,0.0528750093368811,-0.024126944248343,0.0256314164742821,0.107514500579728,0.0651775885461126,0.0124969068021728,-0.00584366932259631
"Sentiment Score",0.666855039695881,0.696941918365412,0.689258056389058,0.633128496013732,0.69892889588683,0.727641464696664,0.691208481477741,0.656883919496504,0.637542490842174,0.652504068549909,0.625705411388581,0.703306610051321,0.669673227352934,0.694831289304442,0.721709833933696,0.689949344108526,0.664942493114749,0.631537844263981,0.675912823102334,0.6701857635983,0.685644037423638,0.697933903614255,0.68237720325319,0.66855651605555,0.652165125258576,0.672956006219224,0.703782817441582,0.65852620194803,0.696159429273917,0.619142332187559
"Maximum",0.32748914172479,0.222438423468347,0.285729605960719,0.306510328335445,0.234171555828112,0.29281845005164,0.274689995362482,0.266832704894694,0.200969175462171,0.195781779402653,0.218428035827657,0.205011444590724,0.304140207997409,0.306447885076438,0.310987058749391,0.186290415002482,0.299112172142034,0.29141976496206,0.207489426396506,0.257847103063584,0.28671748450743,0.296161880696736,0.242176593244899,0.274579692922308,0.225459655716453,0.298579751080271,0.256072054832152,0.304020022681065,0.15517187959908,0.263986427393139
"Minimum",0.332896757976055,0.350679045725921,0.276312866750071,0.252852256134025,0.426526823303439,0.329595096009255,0.315975742272068,0.385502678346696,0.323503666668946,0.33026329328421,0.315499538813312,0.264082942415571,0.309885704278512,0.333544764024496,0.404147607706992,0.312783910535386,0.310293454818823,0.387713336713228,0.278896805331306,0.401500398779435,0.292666933454016,0.303383962163718,0.393124574905539,0.433580731128095,0.273791201349061,0.384034836650997,0.401511017142914,0.346872374832315,0.231001783118456,0.227760698101995
"End Value",0.63898477360218,0.62954525666698,0.635991450882211,0.592501689084256,0.657779100194232,0.612894929512257,0.611463351195117,0.645700653465011,0.554460687112397,0.647129334851761,0.558283113245155,0.631016626351869,0.634635305702569,0.700889329923288,0.657748226412556,0.608439381409705,0.597919862323411,0.647384854788257,0.5949866190442,0.59125696633385,0.605704473608328,0.655564507267409,0.570780615655077,0.611183169985067,0.60270458328127,0.68551883963186,0.663650383018766,0.613264846727017,0.632415628082903,0.568837990093999
"Number of
Peaks",0.231428538889247,0.227883165351426,0.12051295114375,0.215911010668527,0.206636836001574,0.174526515318221,0.17538486723682,0.172103904155403,0.170097646039848,0.241603375606248,0.142489859434008,0.183610218812028,0.141501549998329,0.229529298150142,0.289715640295447,0.173284186611056,0.172622922423214,0.174866696848532,0.231920015645345,0.213923091076952,0.276100259701209,0.253938804668657,0.178133769362837,0.130610969665403,0.0830746772126133,0.203584852993218,0.19016230506556,0.212420653338338,0.191695529277044,0.227705538702022
"Number of
Valleys",0.0901339885959088,0.0774571801912816,0.00297271140740673,0.0423098707274026,0.126789932268231,0.121904951428733,0.106035448491577,0.0773233247916444,0.0638156630637345,0.0342065239434136,0.0531409984030893,0.170306738205998,0.110538222793473,0.0805702315981294,0.0687087419355406,0.0826782625283811,0.00486432926964987,0.0788289407224063,0.0621499645113933,0.0269648862355566,-0.0460454844899449,-0.00451671519096323,0.0142260958988684,0.114398750346967,0.112289433490178,0.1361682779534,0.0754910206463292,0.154134713468889,0.0851248117429153,0.0686583993753269
"Number of
Extrema",0.0910831628525171,0.0908963399183169,0.0745257861187736,0.108356548735796,0.0514135783579118,0.0317644216832282,0.0490870509699676,0.0558235035452358,0.0662262531179157,0.129605434511578,0.0588634331723184,0.00524662291113944,0.0137469136632397,0.0964493117536924,0.143779694877533,0.0541055392125158,0.105923513402607,0.057282151070905,0.110361351343945,0.11299094143774,0.201894428496804,0.163921143583674,0.103807138535528,0.00950082317420154,-0.0148611267776015,0.0475655217401347,0.0669748621418465,0.0345192754765766,0.0619767923697854,0.101112791481133
"Integral",0.441835781134796,0.403925118929062,0.319250226554907,0.282349343981678,0.411742138169251,0.358324233035809,0.334353570446809,0.419546645587491,0.29211888528237,0.301807679762967,0.237830404849285,0.306974856072135,0.327963209896911,0.409520788856886,0.445185778909482,0.35214953604409,0.358737177209056,0.364718736477669,0.348469516755033,0.389231105928837,0.370132776920207,0.324764275686817,0.377029979615349,0.459316074025468,0.267039295077507,0.451514411668053,0.396907665592342,0.421630864834791,0.186198169289786,0.289648849304128
"1st Derivative",0.435891010064244,0.480971942409996,0.55270090246019,0.460825222715001,0.427629559677422,0.435348399981555,0.454236125521394,0.490832039776747,0.426815606551627,0.518574236317659,0.426229961641207,0.470599541610486,0.505529320485267,0.503446521635751,0.44258508388038,0.5050924596309,0.491079121724525,0.467038185454508,0.445255942064497,0.425004038538474,0.490544277464702,0.519107555960803,0.414555243520358,0.425050923128002,0.49880630428612,0.458539399755188,0.484103885682913,0.387221316767797,0.547630896296685,0.449980629326832
"1st Derivative
Early",0.373911103246241,0.423818685369452,0.504113714367816,0.393708644980489,0.357361048095673,0.382262200261906,0.40095233448408,0.44220405747773,0.356364979374058,0.469391979537826,0.3752487700769,0.400974938774496,0.437242794065737,0.436545295183292,0.370578448086997,0.460515355930095,0.449187893449108,0.428240652807069,0.369227174266885,0.372379385605558,0.444015839983477,0.45767229731398,0.378256543454433,0.365922293536705,0.456521485759195,0.391266450267061,0.427701348025053,0.313636331393518,0.477146713602045,0.386243169059633
