"","X1","X2","X3"
"random",0.503661874110147,0.490778500650034,0.505144939892381
"Embeddings",0.732647914073255,0.754316778921909,0.734613805919177
"Interestingness",0.52251809595449,0.54446442591763,0.552968039294612
"Sentiment Score",1.04533596149925,1.05251139758351,1.03367214902963
"Maximum",0.770640883717179,0.745666148468945,0.711507204849094
"Minimum",0.814002989817424,0.788154582818482,0.811801133876293
"End Value",1.032512829365,0.99857594908077,1.00880426556438
"Number of
Peaks",0.652387359463048,0.679225019137079,0.723016667953316
"Number of
Valleys",0.588308512248424,0.568559852787244,0.562543320342166
"Number of
Extrema",0.543464997984291,0.569863850981234,0.608519095708348
"Integral",0.834019352955938,0.831717501393816,0.804728312019286
"1st Derivative",0.92533708455075,0.898154866532076,0.905915204859017
"1st Derivative
Early",0.879023449344492,0.85994198154129,0.85860882383674
"1st Derivative
Ascending",0.924452777912977,0.888293131212658,0.908565841118523
"1st Derivative
Descending",0.819016298962862,0.801837772669686,0.793770495246986
"1st Derivative
End",0.909027118015497,0.873352547358017,0.891021910541294
"2nd Derivative",0.51621252977946,0.504896948792758,0.501521070197837
"2nd Derivative
Early",0.554476335330137,0.539968589712761,0.553090206542231
"2nd Derivative
Ascending",0.549332099747717,0.58315438330642,0.593602876971269
"2nd Derivative
Descending",0.553443747027774,0.563564656522951,0.571401211852624
"2nd Derivative
End",0.544485070760424,0.536044557073996,0.556865580461129
