"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_response","att_check_1","att_check_2","att_check_3_1","att_check_3_2","att_check_3_3","att_check_4","comp_check_1","comp_check_2","comp_check_3","timer_First.Click","timer_Last.Click","timer_Page.Submit","timer_Click.Count","comp_check_4","comp_check_5","comp_check_6","lr_preference_1","lr_word_gen_1","lf_preference_1","lf_word_gen_1","ll_preference_1","ll_word_gen_1","lm_preference_1","lm_word_gen_1","lh_preference_1","lh_word_gen_1","ercv_preference_1","ercv_word_gen_1","efcv_preference_1","efcv_word_gen_1","ercc_preference_1","ercc_word_gen_1","efcc_preference_1","efcc_word_gen_1","sfr_full_preference_1","sfr_full_word_gen_1","sfr_par_preference_1","sfr_par_word_gen_1","srf_full_preference_1","srf_full_word_gen_1","srf_par_preference_1","srf_par_word_gen_1","srfr_full_preference_1","srfr_full_word_gen_1","srfr_par_preference_1","srfr_par_word_gen_1","sfrf_full_preference_1","sfrf_full_word_gen_1","sfrf_par_preference_1","sfrf_par_word_gen_1","sfrfr_preference_1","sfrfr_word_gen_1","srfrf_preference_1","srfrf_word_gen_1","log_rise_preference_1","log_rise_word_gen_1","log_fall_preference_1","log_fall_word_gen_1","pc_full_preference_1","pc_full_word_gen_1","pc_par_preference_1","pc_par_word_gen_1","nc_full_preference_1","nc_full_word_gen_1","nc_par_preference_1","nc_par_word_gen_1","lrsf_preference_1","lrsf_word_gen_1","lrsfer_preference_1","lrsfer_word_gen_1","comp_check_7","comp_check_8","comp_check_9","politics_1","gender","gender_4_TEXT","ethnicity","ethnicity_5_TEXT","age","education","education_9_TEXT","comments","StudyID"
"1","3/7/22 15:13","3/7/22 15:18","IP Address",100,326,TRUE,"3/7/22 15:18","R_2c0gHkeZ2sY0jWz",NA,NA,NA,NA,43.08180237,-87.89199829,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ",NA,NA,NA,NA,NA,NA,"",93,"good",0,"disappointing",0,"unworkable",40,"bland",100,"superlative",86,"impressive",2,"ugly",95,"super",1,"unfortunate",83,"tumultuous",90,"firm",11,"negative",1,"bad",80,"balanced",75,"great",6,"hectic",7,"disgusting",50,"swarthy",5,"horrid",95,"fantastic",5,"poor",72,"strange",50,"odd",0,"gross",50,"focused",7,"sad",81,"volatile","Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",0,"Male",NA,"White","",35,"High School or Equivalent","","No idea how I was supposed to come up with that many different words for graphs.","lifelines_e5"
"2","3/7/22 15:12","3/7/22 15:18","IP Address",100,352,TRUE,"3/7/22 15:18","R_2y44lkc2TBMh92g",NA,NA,NA,NA,33.86540222,-84.33850098,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ",NA,NA,NA,NA,NA,NA,"",80,"Resilient ",15,"Flailing ",1,"Terrible",50,"Stagnant ",100,"Perfection",91,"Resounding",12,"Sad",84,"Impressive",10,"Meh",60,"Redemption",50,"Improvement",18,"Uneven",41,"Improving",23,"Uneven",20,"Uneven",15,"Uneven",31,"Uneven",23,"Wild",20,"Inconsistent",14,"Unwieldy ",41,"Inconsistent",30,"Inconsistent",43,"Sad",30,"Loss",62,"Solid",7,"Meh",41,"Resilient ","Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",19,"Female",NA,"White","",34,"College Graduate (4 year)","","","lifelines_e5"
"3","3/7/22 15:13","3/7/22 15:19","IP Address",100,393,TRUE,"3/7/22 15:19","R_3khW5bzyVqcJfTn",NA,NA,NA,NA,40.5585022,-122.4138947,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ",NA,NA,NA,NA,NA,NA,"",85,"competent",1,"disappointing",1,"horrific",51,"neutral",100,"outstanding",61,"steady",4,"sad",95,"stellar",6,"freefall",54,"comeback",86,"reassuring",9,"disappointed",2,"thwarted",56,"neutral",67,"comeback",10,"anxious",14,"unsatisfied",58,"uncertain",4,"hopeless",70,"decent",20,"boring",67,"shocking",15,"dicey",17,"questionable",53,"letdown",0,"failed",58,"interesting","Perceived Performance","Time","Give a one-word summary of the candidate's interview performance",24,"Female",NA,"White","",26,"Some College","","Thanks for the opportunity to take part. Cheers!","lifelines_e5"
"4","3/7/22 15:13","3/7/22 15:20","IP Address",100,435,TRUE,"3/7/22 15:20","R_31iW89ZefV2GFKE",NA,NA,NA,NA,43.20159912,-71.69529724,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ",NA,NA,NA,NA,NA,NA,"",100,"Amazing",0,"Terrible",0,"Depressing",100,"Average",100,"Incredible",100,"Incredible",0,"Pathetic",100,"Impressive",0,"Sad",50,"Interesting",60,"Interesting",0,"Disappointing",0,"Disappointing",50,"Confusing",50,"Confusing",0,"Confusing",0,"Confusing",20,"Confusing",20,"Confusing",70,"Surprising",0,"Sad",50,"Odd",50,"Odd",0,"Confusing",20,"Disappointing",0,"Pitiful",50,"Decent","Perceived Performance","Time","Give a one-word summary of the candidate's interview performance",50,"Male",NA,"White","",33,"High School or Equivalent","","","lifelines_e5"
"5","3/7/22 15:13","3/7/22 15:20","IP Address",100,427,TRUE,"3/7/22 15:20","R_3KSW6Ay77fjAZXl",NA,NA,NA,NA,40.81500244,-74.36540222,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ",NA,NA,NA,NA,NA,NA,"",33,"Linear",56,"Descending ",67,"Confidence ",29,"Constantly ",15,"High",27,"Exponential ",39,"Descending ",28,"Increasing ",33,"Downhill",46,"Valley ",31,"Valley ",37,"Bell",35,"Reduced",37,"Sine",51,"Roller-coaster ",47,"Roller-coaster ",43,"Roller-coaster ",31,"Sine",31,"Sine",37,"Jumped ",48,"Dropping ",26,"Vee",34,"Up",34,"Dropped",58,"Difference ",46,"Calm",38,"Erratically ","Stress","Time","Indicate how likely it was that you would hire the candidate",81,"Male",NA,"White","",49,"College Graduate (4 year)","","No","lifelines_e5"
"6","3/7/22 15:14","3/7/22 15:20","IP Address",100,342,TRUE,"3/7/22 15:20","R_3mmdHnQ8ltdIyt4",NA,NA,NA,NA,40.78199768,-73.99530029,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ",NA,NA,NA,NA,NA,NA,"",77,"impressive ",15,"unredeeming",5,"poor",38,"mediocre ",98,"strong ",74,"redeeming ",16,"unredeeming",69,"redeeming",11,"unredeeming",38,"inconsistent ",59,"redeeming",25,"varied ",16,"declining ",24,"inconsistent ",36,"inconsistent ",18,"inconsistent ",22,"inconsistent",27,"inconsistent",16,"inconsistent ",62,"sudden",15,"inconsistent ",47,"pointed",13,"declining ",24,"inconsistent ",52,"redeeming",29,"unremarkable ",29,"opinionated ","Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",49,"Female",NA,"White","",29,"College Graduate (4 year)","","","lifelines_e5"
"7","3/7/22 15:14","3/7/22 15:20","IP Address",100,370,TRUE,"3/7/22 15:20","R_Rf8nDp7tzFX1y0x",NA,NA,NA,NA,34.228302,-77.95189667,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ",NA,NA,NA,NA,NA,NA,"",40,"nervous",50,"nervous",60,"calm",59,"consistent",9,"stressed",50,"anxious",61,"relaxed",42,"nervous",61,"nervous",40,"emotional",41,"consistent",52,"consistent",51,"relaxed",34,"startled",33,"nervous",30,"inconsistent",31,"nervous",41,"shaky",30,"inconsistent",20,"rattled",40,"nervous",30,"nervous",40,"chill",51,"anxious",39,"nervous",45,"relaxed",40,"nervous","Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",50,"Male",NA,"White","",25,"College Graduate (4 year)","","","lifelines_e5"
"8","3/7/22 15:14","3/7/22 15:20","IP Address",100,377,TRUE,"3/7/22 15:21","R_yqlMrDnTuodCwud",NA,NA,NA,NA,41.27090454,-73.68569946,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ",NA,NA,NA,NA,NA,NA,"",81,"constant",20,"declined",0,"awful",51,"neutral",100,"outstanding",71,"intriguing",21,"declined",81,"intriguing",20,"stressful",49,"varied",66,"confident",30,"peaked",20,"tired",24,"varied",39,"varied",30,"varied",37,"gradual",9,"wild",40,"wavy",60,"impressive",50,"Competitive",50,"Stressing",36,"uninteresting",21,"disappointment",62,"sharp",20,"skewed",71,"impressionable","Perceived Performance","Time","Give a one-word summary of the candidate's interview performance",50,"Prefer not to disclose",NA,"White","",NA,"","","","lifelines_e5"
"9","3/7/22 15:13","3/7/22 15:21","IP Address",100,463,TRUE,"3/7/22 15:21","R_1laTta6LPhh6TWl",NA,NA,NA,NA,39.38600159,-76.54000092,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ",NA,NA,NA,NA,NA,NA,"",80,"excellent",1,"bad",1,"bad",31,"average",99,"great",85,"excellent",1,"bad",89,"excellent",1,"bad",77,"good",83,"good",1,"bad",0,"bad",53,"average",58,"average",0,"bad",1,"bad",60,"good",1,"bad",87,"excellent",2,"bad",71,"good",34,"average",0,"bad",61,"average",1,"bad",80,"excellent","Perceived Performance","Time","Give a one-word summary of the candidate's interview performance",36,"Male",NA,"Asian","",44,"Masters Degree (MS)","","","lifelines_e5"
"10","3/7/22 15:13","3/7/22 15:21","IP Address",100,483,TRUE,"3/7/22 15:21","R_1kRN6xm1PctXoJo",NA,NA,NA,NA,28.63439941,-81.62210083,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ",NA,NA,NA,NA,NA,NA,"",19,"Stressing",69,"Acceptable",82,"Care-free.",65,"Steady",0,"Stressful",31,"Stressing",79,"Convincing",16,"Stressing",80,"Solid",53,"Imbalanced",54,"Rocky",33,"Troubling",75,"Affirming",51,"Rocky",48,"Bumpy",51,"Uneven",50,"Uneven",28,"Stressful",49,"Rollercoaster",49,"Imbalanced",65,"Good",49,"Average",54,"Stressing",31,"Stressful",45,"Stressing",75,"Steady",57,"Bumpy","Stress","Time","Give a one-word summary of the candidate's interview performance",0,"Male",NA,"White","",35,"Some College","","","lifelines_e5"
