"","max","min","end_value","number_peaks","number_valleys","number_extrema","integral","d1_sum_unweight","d1_sum_weight_prime","d1_sum_weight_asc","d1_sum_weight_des","d1_sum_weight_end","d1_avg_unweight","d1_avg_weight_prime","d1_avg_weight_asc","d1_avg_weight_des","d1_avg_weight_end","d2_sum_unweight","d2_sum_weight_prime","d2_sum_weight_asc","d2_sum_weight_des","d2_sum_weight_end","d2_avg_unweight","d2_avg_weight_prime","d2_avg_weight_asc","d2_avg_weight_des","d2_avg_weight_end"
"linear_rise",-0.0952819543082736,-0.2258172145878,-0.0952818407844454,-0.225817328111628,-0.225817328111628,-0.225817328111628,4.99560216497567,-0.0952818407844454,-0.075701517685368,-0.144232648532139,-0.144232648532139,-0.0626479689526498,-0.224185634520038,-0.2239408804813,-0.224797519616884,-0.224797519616884,-0.223777711122141,-0.225817328111628,-0.225817328111628,-0.225817328111628,-0.225817328111628,-0.225817328111628,-0.225817328111628,-0.225817328111628,-0.225817328111628,-0.225817328111628,-0.225817328111628
"linear_fall",-0.044473266680981,-0.173701552399138,-0.173701664786318,-0.173701664786318,-0.173701664786318,-0.173701664786318,4.99543875491432,-0.302930175278833,-0.322314451852711,-0.25446948384414,-0.25446948384414,-0.335237302901962,-0.175317021167474,-0.175559324624648,-0.17471126252454,-0.17471126252454,-0.175720860262763,-0.173701664786318,-0.173701664786318,-0.173701664786318,-0.173701664786318,-0.173701664786318,-0.173701664786318,-0.173701664786318,-0.173701664786318,-0.173701664786318,-0.173701664786318
"linear_low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"linear_middle",-0.134880522629879,-0.134880522629879,-0.134880522629879,-0.19991220318357,-0.19991220318357,-0.19991220318357,5.00262224111175,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357
"linear_high",-0.134880522629879,-0.134880522629879,-0.134880522629879,-0.19991220318357,-0.19991220318357,-0.19991220318357,5.00262224111175,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357,-0.19991220318357
"exp_rise_convex",0.0371481314387795,-0.279459455550151,0.0371494172009978,-0.279459463831758,-0.279459463831758,-0.279459463831758,4.94739314426263,0.0371494172009978,0.0460395958472264,0.00392982812837138,-0.167087654500942,0.256252864564121,-0.275501852818848,-0.275390725585771,-0.275917097682256,-0.278054816215123,-0.272763059726809,-0.261160389085411,-0.260646562552734,-0.263080384953815,-0.272964699276767,-0.248496845512654,-0.279230725397429,-0.27922430256577,-0.279254725345784,-0.279378279274821,-0.279072431102769
"exp_fall_convex",0.157465997609312,-0.152046776747,-0.152046784631626,-0.152046784631626,-0.152046784631626,-0.152046784631626,4.95767805223538,-0.461560823822326,-0.516806526478637,-0.261900470616984,-0.429085647634643,-0.468240398474848,-0.15591571012151,-0.156606281404713,-0.153419955706443,-0.155509770419164,-0.155999204804666,-0.134157771159485,-0.130964729830308,-0.145697560300171,-0.136034742122905,-0.133771711124019,-0.151823171963224,-0.151783258946609,-0.151967419327483,-0.151846634100267,-0.151818346212781
"exp_rise_concave",-0.129893961802366,-0.212903805837309,-0.129893959687747,-0.21218233183901,-0.21218233183901,-0.21218233183901,5.00048370603194,-0.12917214858154,-0.114355515663437,-0.182720099272769,-0.137881835333414,-0.127380718643701,-0.211144704548291,-0.210959496636815,-0.211814053931932,-0.21125357563269,-0.211122311674068,-0.216980079593847,-0.217836437989016,-0.213885163402563,-0.216476684969003,-0.217083619046778,-0.212242303685945,-0.212253008165885,-0.212203617233554,-0.212236011253135,-0.212243597929107
"exp_fall_concave",-0.0967579448779713,-0.1792188758807,-0.179219210759439,-0.178502172719451,-0.178502172719451,-0.178502172719451,4.99969445901719,-0.260963440757876,-0.263278901404036,-0.252311347898987,-0.207769582587945,-0.318029269240698,-0.179532938569931,-0.179561881828008,-0.179424787409195,-0.178868015342807,-0.180246261425966,-0.183268194767195,-0.183402021674697,-0.182768128902268,-0.180193744096313,-0.186566434088414,-0.178561747995047,-0.178563420831391,-0.178555497171736,-0.178523317361661,-0.178602975986563
"sin_fr_full",-0.0731156795693999,-0.202404350348344,-0.0731594815541601,-0.202404350348344,-0.201111463640555,-0.201111463640555,4.99926050368149,-0.202448152333138,-0.258368665139411,-0.138103982872578,-0.266759470305103,-0.139632288158157,-0.202404897873154,-0.203103904283233,-0.201600595754897,-0.203208789347804,-0.201619699570967,-0.202592316929081,-0.201102773920952,-0.202615384169864,-0.202428274752745,-0.207885239458703,-0.202406699930604,-0.202388080643002,-0.202406988271113,-0.202404649403399,-0.202472861462224
