"","10","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"random",1.03078964582213,0.969429860802666,1.00402637905393,0.982478267410554,0.944036688344911,1.03213002176425,0.99618002876525,1.01860815189638,1.01149447962042,1.0175292475368,1.04351766970762,0.972765025098947,0.969801423772706,1.03343349931059,0.998686508580508,0.979194948963184,1.01037638293744,1.01133244304743,0.993653648133023,0.987014396428158
"Embeddings",1.03034370466805,0.968895519594086,1.00253843310719,0.983255272414182,0.943926892125033,1.03267120551785,0.995137232012533,1.01836150779985,1.00971176317525,1.01675019022879,1.04275387398388,0.969798794591694,0.96953077087059,1.03269076460153,1.00044568145588,0.97889958991185,1.01071171949271,1.01246278759943,0.993480739593833,0.986978134149906
"Interestingness",1.0144456592115,0.958606271833315,0.981323758343739,0.982183849658647,0.94857332504816,1.02411128839607,0.990767983798758,1.00192047529064,1.00194613744056,1.00827962650595,1.03495058508965,0.962742247463217,0.968367737361257,1.01602726060385,0.986211631592183,0.967856464479998,0.998604503044894,1.00836444864802,0.976050895644134,0.987324442971555
"Sentiment Score",0.862180587114302,0.829853738910063,0.854565369491767,0.821161625786577,0.789462502204688,0.888502566056059,0.84446849978453,0.875024701792894,0.897105076065778,0.863725771846129,0.932505415150429,0.822612050119634,0.815608952532832,0.856658257217135,0.86914430841755,0.831417654927289,0.866187220741328,0.840992094092966,0.86201969485806,0.824847014026226
"Maximum",0.957225007733327,0.888065733728224,0.917976807744041,0.93290991974158,0.919380561838961,0.918863338528958,0.931436136166367,0.926730347137796,0.975841110018903,0.963752485649387,0.965302678304203,0.92965181297765,0.89722678234567,0.943310186686536,0.923644468853029,0.916499555348796,0.939211411937971,0.945817107314235,0.92787309014544,0.938564238828367
"Minimum",1.03121076784977,0.941571429841555,0.990035477202518,0.959655841522321,0.913782510123552,1.0065297445302,0.989988351744798,1.01254262293216,1.00059089562944,1.00478383483981,1.03334138777927,0.962456655893316,0.95216123449037,1.01909374918622,0.990474888833556,0.964145174710131,0.99714294836163,0.997720111551543,0.985095642491305,0.947238587783364
"End Value",0.960083397975435,0.885773148217906,0.923361604800872,0.905331617125187,0.857486928090119,0.934867901768334,0.934816164167898,0.936945731321776,0.954953898749064,0.938131813192013,1.00117459952966,0.886143799124185,0.874585545370542,0.946999287184179,0.936822955085126,0.924656320508085,0.932844346573987,0.935551949685575,0.916388955622858,0.873712789948801
"Number of
Peaks",1.03031831887792,0.968264441030751,1.00708785906408,0.978152980444312,0.939604007484789,1.02924655666253,0.992314238127015,1.02389693049212,1.01116852912506,1.01273183894603,1.04194384245751,0.968017184887663,0.966510976303164,1.03028607869872,0.999895899171404,0.982453259576212,1.00898126545079,1.01031701535151,0.99081435308218,0.987056250629912
"Number of
Valleys",1.02775272859439,0.968842929727859,0.999066169636549,0.986965311722588,0.946131803707845,1.02731330201182,0.995350447702375,1.01306608236948,1.00301664465971,1.02113124472904,1.04425430786398,0.970517333332018,0.970187798657512,1.02932619597709,0.99560343609452,0.979652021222589,1.00905932924927,1.00830385186922,0.988950185837522,0.984728005080664
"Number of
Extrema",1.03061483811504,0.968571246436888,1.00328339680803,0.984376833099655,0.945593152192109,1.03202133504266,0.995382285625941,1.01961412555798,1.01061256857504,1.01728477491343,1.04284798621912,0.97030511410367,0.970166982768465,1.03310401561043,0.998958189825748,0.979130336087632,1.01086179189184,1.01105000443208,0.993970800668049,0.987370248217382
