"","10","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"random",-0.0066214736344198,-0.0509082824472246,-0.0553801643388445,0.0117196070096991,0.0280406678610425,-0.0997190014435975,-0.144883179468922,0.048319620450665,-0.0656296889033043,-0.0784554428543755,-0.0384837733208747,-0.0951411304481054,-0.00607600411866296,-0.0118961026369066,0.0402075217469119,0.0096995371568139,0.0813149025061003,-0.00994967570204472,0.101037445800233,0.0595123738684987
"Embeddings",0.0316615636846606,-0.0182420255921167,0.0802724710215696,-0.0315610268332791,0.0285913094963449,-0.0301823323851349,0.00205717619964271,0.0502888298893629,0.0458501398914818,-0.0366000079319683,-0.000873764041023067,0.0337485491025499,0.00981781922286584,0.0467763829429388,-0.0492694353147804,0.0334829467135355,0.0148863706649075,-0.044842070285803,0.0689500366602992,0.0525060423930326
"Interestingness",0.185020095989798,0.139848665154719,0.238626545397281,0.0726694019112899,0.0442035205603788,0.134271697496791,0.107080821105592,0.191643337549671,0.127127655293757,0.118546657208933,0.121676422836977,0.131570516722023,0.0800531033144316,0.190533929081353,0.164822357872594,0.15422141406829,0.157432947140438,0.0968387600923731,0.198938346320006,0.0760040329680165
"Sentiment Score",0.549582626160465,0.51796570946728,0.524546453826198,0.550309584586698,0.552432857440411,0.513173245373518,0.524743921556762,0.51216150806292,0.464808861474396,0.528318946645992,0.452238224673418,0.529087168994903,0.542689689324182,0.563478709173703,0.493644336896017,0.528365901156116,0.515914189526841,0.55994164029546,0.498449317056185,0.551011762067321
"Maximum",0.369715985113504,0.402201491950873,0.405120561696546,0.315788057700074,0.238439172175336,0.47978864736609,0.350350546365407,0.419091062247799,0.264078390427399,0.319605808390454,0.378480160023703,0.288825728502725,0.378439044279413,0.409106180454987,0.3828847315524,0.353112454652255,0.371000601593733,0.354701964147943,0.358492378813512,0.32255665173366
"Minimum",0.0778537202792859,0.251586005960597,0.153424566639465,0.222198313609178,0.260462295637656,0.219944808967095,0.123551917046833,0.124516013650144,0.141096765527373,0.138733068311331,0.137515003265133,0.134621537093127,0.190084773635551,0.170265096009375,0.130846601543276,0.176532327185582,0.163892507342286,0.160909547193904,0.138769324336718,0.32029759945289
"End Value",0.356113229192734,0.401683304468318,0.389283555014633,0.387722416992146,0.418832474865534,0.42303446971109,0.340054054247869,0.393854990436308,0.33174103898551,0.383665520692336,0.292309127718475,0.404419451760587,0.43478289457457,0.399662714184987,0.350221687997163,0.334237273422784,0.386091436664336,0.380977873120267,0.39036234138263,0.477620950282226
"Number of
Peaks",0.0312151098974607,0.0352539027690818,-0.037860347325204,0.129796426608483,0.135983401368411,0.0823535732256176,0.0718445050866105,-0.0525049143912937,0.00840099058060615,0.0900733450223394,0.0375253372687862,0.0550707408556178,0.0917137028487953,0.0791540890158541,0.00990487769045448,-0.0286356297693248,0.0618929398712685,0.0309844982880514,0.0977813802323971,0.0332580212430266
"Number of
Valleys",0.072802964235585,0.0271879232768307,0.0951378184564713,-0.0327336784047856,0.00449660619339399,0.106586068547985,0.0254107929342301,0.135726788159667,0.17340850643127,-0.0403228128097848,0.00796252006697762,0.0266278219631571,0.018908177644377,0.0924725093464355,0.0895200005029544,0.0247859472656182,0.060569929761405,0.0810709252454337,0.121665183940924,0.0766825645264485
"Number of
Extrema",0.0225243668366943,-0.0044686446462556,-0.083033338190389,-0.101875798160079,-0.0848636265829832,0.0172857963539459,-0.0278437613282636,-0.11423379354497,-0.102082741953337,-0.0803872819249893,-0.0181031362361765,-0.0159075329562087,-0.0478383142780451,0.00552850825866476,0.0478490379842435,0.0344862309992957,-0.00271521855859106,0.0333701055793218,0.0129220024131188,0.0281836988381405
"Integral",0.35307589832025,0.365735181814942,0.431478027750024,0.368016872159157,0.27282624259088,0.459447789323987,0.298923119712378,0.373686811571769,0.35575796250221,0.34334536614821,0.308219331646735,0.375297111753717,0.421549463781598,0.37628264056021,0.361414876988516,0.359282839505785,0.324573329244735,0.352604479476924,0.35335652080951,0.421863432110247
"1st Derivative",0.291612874042921,0.302921146383493,0.290692904627579,0.313390750743163,0.320878467445541,0.240111226854417,0.265097435170951,0.295242840608578,0.216503580613235,0.313302467090652,0.220826500245062,0.358632207425086,0.28098997622,0.267409799409499,0.275126701049437,0.271089209730442,0.279795575972688,0.303301626187848,0.264425335270634,0.341456183275368
"1st Derivative
Early",0.260040538024748,0.291742212796191,0.28626276910952,0.305916826267511,0.295130972572978,0.215431304539496,0.233267966847403,0.293789250380413,0.192334805789097,0.293447327875499,0.207005855938989,0.354508483403224,0.271972875358794,0.240676859896546,0.262333478392135,0.265928311438282,0.244972218263315,0.309494372013327,0.222449168880933,0.300675184106582
"1st Derivative
Ascending",0.208299232866773,0.247143801072493,0.221346664652202,0.237891729141985,0.2947759766864,0.214173831296869,0.215993310445113,0.240922197016505,0.180512945747063,0.240428397448745,0.169152311856198,0.266015197656835,0.249848144608438,0.225905679826678,0.205491314631693,0.19303674462715,0.243884898810347,0.231820493196707,0.239126969067492,0.297363623718334
"1st Derivative
Descending",0.291863863816856,0.27772904888879,0.275727528665013,0.298740143317243,0.239529291449089,0.199863409449934,0.251765537731386,0.280364452582449,0.196632374848218,0.303931572534131,0.214974609797632,0.364061689388109,0.235197677329974,0.24715963233409,0.277557228769374,0.272938634668573,0.230093562365158,0.287000692550256,0.208986396650844,0.284770172828581
"1st Derivative
End",0.19805014070304,0.238427155329577,0.227977408235045,0.227686722079219,0.283591447215539,0.189693658963991,0.193443919187383,0.239917192609848,0.169516857236739,0.230585066305363,0.157878712477952,0.277052055380434,0.24173155015924,0.216025345806905,0.188111951179403,0.177312038736383,0.227515649710442,0.227732619602221,0.219767002378501,0.290351132494807
"2nd Derivative",0.058783797766119,-0.0521434830563028,0.0938640409745745,-0.016189100457897,-0.0330436523580644,0.0127719282610333,0.0401739862299327,0.00402398913261772,0.112662945050488,0.0315774393698646,-0.0157347675136434,0.106657097731251,0.0284540365900341,0.0324494651955361,0.0330608228570482,0.00649642565631742,-0.000992603858176396,-0.0422150910819001,0.0708153913604922,0.0385235216174394
"2nd Derivative
Early",0.0574262272550443,-0.00250103936573056,0.078579082790831,0.00398153708862797,-0.00450215295167877,0.0214792705388471,0.020457355328334,0.0424905024144605,0.115786687111737,0.0396447559404617,-0.00631411316724564,0.113874337930227,0.0256629486646001,0.059545302177058,0.0272176693132608,0.00064218869567024,0.0267317174843312,-0.00485040961362867,0.077850013870864,0.0712317577226014
"2nd Derivative
Ascending",0.0932993872262116,0.0263185527398503,0.0805247540963202,0.0804899946721746,0.0231433370625071,0.131832541286708,0.0940445805706546,0.0617749766986029,0.165092060362743,0.0249652117033636,0.0424017677691906,0.132344846517254,0.0508679085653864,0.125945844593819,0.0850070794811075,0.0188788396498757,0.0392200718358493,0.0991932386189198,0.144224643435347,0.0468904142857635
"2nd Derivative
Descending",-0.00847173897436978,0.083536617159289,-0.0587530825903735,0.0701878258786017,0.0605194103121491,0.075188780604698,0.0177653076024002,0.041910642202273,-0.0197911373586097,-0.0198800734137371,0.0497519902464179,-0.0412721132250895,0.00062611858134738,0.0573541407851002,0.0190898797540839,0.00575888569753876,0.0280876882519808,0.115070655320908,0.0166220246692912,-0.0142347574466524
"2nd Derivative
End",0.0306811151723523,-0.0142211015017062,0.0625707796225779,0.0240101634032828,0.0126482137707963,0.0274016531324551,0.024599897879506,-0.00822724065780188,0.164772827742194,0.0301926531249092,-0.024637915169756,0.0984387240013767,0.0411932715051067,0.0513246682290674,0.0167081155482365,0.0166299421442376,0.0267714404254934,-0.0293428055572774,0.108920423601177,0.065112384223992
