"","10","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"random",0.987605992472914,0.996212059438886,0.989468749877016,1.00930605988701,0.986875326547909,1.0119935956844,1.01066065547882,1.00964480745453,1.01173874924892,0.992381228146248,1.00839969994273,1.00180652832512,0.985476434769767,1.02399630352055,0.989074349332867,0.944335747958831,1.00376552908136,1.01575505638092,1.00907980436551,1.02088411276101
"Embeddings",0.988951524485338,0.996611068510787,0.990549558584502,1.00723119916981,0.987253508058387,1.01118531982685,1.00978134210711,1.01006232976952,1.00942514365202,0.990059100677159,1.00661684697078,1.00237711112811,0.983430582576173,1.02346246090119,0.986777878780564,0.944206312176132,1.00270620830545,1.0136544119276,1.01032595665464,1.02279927021242
"Interestingness",0.988822313984016,0.996872844038533,0.990578430151168,1.00929870869977,0.986292349629088,1.01260244718841,1.01150922637438,1.01030152635968,1.00962764520841,0.991623217785786,1.0077993119478,1.00033806217281,0.985188804689353,1.0244040972323,0.989251662177086,0.944311535812077,1.00321049892175,1.01598591776177,1.01053838921567,1.02054669861929
"Sentiment Score",0.743113633376298,0.798178903505991,0.746063168873406,0.790421303150075,0.806535037968611,0.824005938795888,0.774838950209196,0.808057979839296,0.823330321278696,0.761391033228256,0.780546320510531,0.796985553096532,0.773033263629501,0.793377745182021,0.79650468038837,0.721164752976359,0.778096006942176,0.80231121286315,0.811804604119863,0.818995849942892
"Maximum",0.970715993342609,0.967968718073747,0.949453099265367,0.999977892476424,0.968484226804015,0.97250208417467,0.999003332841657,0.99263587596275,0.998101094653117,0.972322289886813,1.00109843676177,0.993394455064996,0.958355833713695,0.994746065093048,0.959607736531593,0.927812286278648,0.973449772573058,0.992630373736316,0.976760206879346,1.00758354472679
"Minimum",0.979934091422374,0.971592078581875,0.974828388158998,0.950069765794186,0.959367300486015,0.964274327051513,0.968608599956672,0.956714872720756,0.96898827611978,0.970956883381398,0.97170000195011,1.00772456948119,0.952073274738645,0.995422203458386,0.951354654940933,0.904196482640522,0.95959350313971,0.971222611627565,0.989717026715283,0.957472192075275
"End Value",0.93008519723982,0.91969395244242,0.915082189511796,0.924296845516785,0.907452204429066,0.899545852307476,0.944766041997077,0.935204929999505,0.939645244007206,0.892111288002501,0.928866462647777,0.912396504095332,0.891517428780684,0.950168541463952,0.953733220684921,0.880529922871785,0.912319688149708,0.948318729660315,0.911609450623755,0.916546859872606
"Number of
Peaks",0.98345265518325,0.993331076479019,0.991051501871525,0.989531138132421,0.976744720736166,1.00032297242165,1.00420652490543,1.00489682151154,1.00907787282252,0.972976364754718,0.989501898151753,0.998303103835047,0.970847914123955,1.00713085414387,0.991748861521162,0.944342628291643,0.989204486046034,1.01013533731989,0.998911263974757,1.019965073866
"Number of
Valleys",0.987314267052218,0.996158565937101,0.989240484750316,1.01079543640649,0.986342010749771,1.01276837760739,1.01143490448045,1.01053966254544,1.00949207973422,0.991874722860607,1.01120256088718,0.999431083306282,0.985449232223949,1.02406934986622,0.989072003523651,0.944429615355903,1.00363163135789,1.01574009418399,1.00842904943214,1.02081262551426
"Number of
Extrema",0.987724615216076,0.998328857789854,0.991115339766908,0.998693316969231,0.982058397203936,1.00814875945653,1.00926289303498,1.00793014726931,1.01212321343797,0.984205237358953,0.99632269425233,1.00006656069584,0.979277484018866,1.01739409622068,0.992213014886771,0.943370867124798,0.996474152813094,1.01660274445215,1.00848240719498,1.02434315334582
"Integral",0.95550421937803,0.94632579451867,0.908611797381603,0.947786640621041,0.95165925839077,0.928891247471769,0.959406190879469,0.941839294060548,0.950512889414147,0.963954812570799,0.9748592897965,0.969320026403924,0.906500377759254,0.978328337430197,0.921491817614396,0.899087213178264,0.939185567116041,0.94969517663961,0.954885960989633,0.955482749916748
"1st Derivative",0.938540696497377,0.953143803769572,0.94409217122991,0.950591226318664,0.939995225915664,0.956754167724495,0.968236992576808,0.964480831968739,0.963242893851441,0.929935465968606,0.94354106266587,0.921093673539714,0.939454563524212,0.99425394502223,0.960778143801004,0.904116716769414,0.955117776716385,0.978896511866194,0.95076091293876,0.957616897594932
"1st Derivative
Early",0.947076733110343,0.96093361935655,0.949283533317009,0.951373574074725,0.947916946355226,0.963360062345268,0.978056341571322,0.965674503447993,0.973440571471071,0.939534293791448,0.951519932474936,0.927326988620316,0.939437995461125,0.996785512794256,0.95882858602192,0.908131991747682,0.971506472975029,0.984672041387942,0.961599284253322,0.972187855122313
"1st Derivative
Ascending",0.959833812265162,0.966293137411534,0.965283628909052,0.973166471818928,0.949587191676712,0.96884948153436,0.985021572688293,0.982890167726588,0.981405749954827,0.940843144190229,0.96447083190547,0.9495103932382,0.95350492882985,0.996523500868431,0.985962102610788,0.918366900432675,0.967630092665717,0.995179415888831,0.96460387489751,0.974747988803317
"1st Derivative
Descending",0.943132661284893,0.961866184322321,0.946701157628618,0.959767582097386,0.959470777785362,0.975122174906848,0.969877070490224,0.965366466707455,0.966544000827988,0.953409714722042,0.956003926898514,0.930942217116046,0.948837524070691,1.00487561400511,0.944973134035516,0.912204407858993,0.970467760933746,0.982527090357318,0.969603367657877,0.975493785248277
"1st Derivative
End",0.962465876654426,0.96938588242063,0.963202513239303,0.975600866668448,0.951742739240031,0.971126770059382,0.989200233433199,0.981738566080288,0.987050750806174,0.948224073802324,0.965440071826905,0.946348202746595,0.957514801884561,1.00103858277641,0.987244065172579,0.921512761484035,0.973650743379136,0.994440714924206,0.970627447265073,0.97991527295488
"2nd Derivative",0.986667513213195,0.995466062966988,0.985855927988129,1.0115072608405,0.986894436768359,1.01297384500232,1.00938746852252,1.00932313795632,1.00745969351344,0.9942847737602,1.00834510981682,0.99684450624026,0.984419288040874,1.02608162782813,0.987555972663838,0.944756909658606,1.00176607481094,1.01449066239304,1.00803151681843,1.0196078164158
