"","10","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"random",-0.00797591905960065,0.00403188789621865,0.000324412947497845,-0.00459575265998608,-0.0167279779390826,0.11698180441116,0.074949496470376,0.0736773342571267,-0.0703210299617566,-0.0204046232265286,-0.055744132295268,-0.110253406230364,-0.0137766559939835,-0.00257363420990481,0.031723133778437,0.000299997801782154,-0.0992761941116186,0.00774746212388275,-0.121387324829652,-0.0182685869346605
"Embeddings",-0.014499311349198,0.0162464106232157,-0.0105534716067044,0.0842914652752961,-0.00862727191994594,0.0783645607816992,0.0714793116967292,0.0271427910791146,0.0194241154395212,0.0752391965807538,0.0469181794115367,-0.0662107478789189,0.0883640830443382,0.0317447871073303,0.116469781263478,0.0182481910446969,0.0296504378515933,0.100730254025926,-0.0346145858814696,-0.0348043359322996
"Interestingness",-0.0725208888703475,-0.0406183963300843,-0.0718824705184009,-0.104183145261239,-0.00282444855507905,0.0180652819959726,-0.071182732030333,0.0519249333518911,-0.00701426969815285,0.0169570707076171,-0.085849560360776,-0.0641302452807256,0.0332564791925715,-0.0294892154561638,-0.00863462230518085,0.00298832573155066,0.00350536803458972,-0.10086920689519,-0.10207152789068,0.0434801980372782
"Sentiment Score",0.655712657120989,0.601924411701375,0.656965085499347,0.622323947277802,0.5852325466268,0.585534644845455,0.639811969391337,0.600614839149831,0.579666580062812,0.641152973313016,0.634738101448597,0.603173911908125,0.622687859770179,0.634215009813023,0.591877666165187,0.644959300079861,0.633509930633273,0.613214905641757,0.594884628888928,0.596861092483921
"Maximum",0.183891595049134,0.240407902040722,0.292597218920816,0.143886204955991,0.200584414313119,0.299534448232121,0.159670321319913,0.185997091461809,0.154400465792445,0.19818785845929,0.141660754924547,0.126052853019544,0.232776088837517,0.237787852737677,0.249205452800898,0.189442064232963,0.248619616204224,0.212993075878987,0.256573577937768,0.169542494765644
"Minimum",0.155209825167433,0.226903060566412,0.175926292695609,0.358338659259906,0.239494628726429,0.302263687276723,0.282905408317261,0.333834793631906,0.282771217316841,0.202135700759022,0.264871616575778,0.11073990525472,0.259283711456633,0.245616807319773,0.280993584693452,0.292192713997009,0.293777664159913,0.299372106532165,0.201732796772179,0.361275943995346
"End Value",0.327329374884585,0.380948341959419,0.37903880365498,0.400940020134175,0.392134818214518,0.464199202844219,0.351750824246708,0.38093468535751,0.366301204340496,0.439442550752028,0.38913574323244,0.406167663634982,0.428375325912293,0.372513572918652,0.291130953094015,0.364582379793965,0.419976662803495,0.359513785756399,0.431035454621028,0.447132574750616
"Number of
Peaks",0.0957347513361273,0.0921455091511311,0.0562575465373447,0.225515006348439,0.139021698568068,0.158868372183622,0.110037745305021,0.104894262336853,0.0692668489396249,0.215260748922269,0.20760519532027,0.0616313248157655,0.180182456742487,0.190664766647134,0.0478613373812176,0.0707172891653148,0.175092096940485,0.116059837580862,0.136276729880927,0.0687384412727265
"Number of
Valleys",0.0321272268672336,0.0581929597252045,0.0270326624818795,-0.0992128684971807,-0.0088778739677777,-0.00810110098281314,0.00677173837881615,-0.00349156447932248,0.0562168348967874,-0.0157739623706389,-0.138096991699412,0.0160330993449908,-0.0153894131246462,-0.0103642739961994,0.0405687484590654,-0.00840954497790843,-0.0326296220416654,0.0509160604016821,-0.0813616942199135,-0.0756372887159171
"Number of
Extrema",0.0426300126612664,0.0197362677223089,0.0195807242281189,0.203290321721827,0.0951859418567263,0.100336866395373,0.0618185722320422,0.0654571603401707,0.00851593832532436,0.143227571470708,0.209067152682788,0.0262821487788852,0.125558438365907,0.121505561094158,0.00463170024629613,0.0515935913293129,0.134486149325607,0.0373651993976582,0.0362544317521012,-0.00550686333831863
"Integral",0.257505227559021,0.313521431874054,0.400149509826252,0.34409450046522,0.269858396728181,0.403034264782066,0.309273696558113,0.362326233495383,0.339257475199953,0.247915158155092,0.263057490417562,0.257443685958536,0.401525362751035,0.299071498234036,0.365091182441686,0.307131202487278,0.351695491377445,0.359239475666495,0.32132986243029,0.352196909200344
"1st Derivative",0.299157342990441,0.288421651966606,0.299859471381238,0.339451953443968,0.302724396596177,0.327179299300437,0.290210531406435,0.299410907477416,0.300205878598073,0.351836651181471,0.354968133636854,0.400703512156878,0.303888078524131,0.248370443147764,0.249295490578015,0.290719067765952,0.308691970179128,0.26576084554923,0.334866179487736,0.352895199837046
"1st Derivative
Early",0.271263195933299,0.262861232433785,0.283585605527346,0.339613428739174,0.276149738826853,0.307273280081364,0.257488208695458,0.294756219906339,0.267226479392426,0.322720161031607,0.333416467224291,0.388683410827831,0.303121523379078,0.235498824356782,0.250475266491775,0.274361402692153,0.252852434063419,0.244527692136424,0.301783994011653,0.307267618912705
