"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","att_check_1","att_check_2","att_check_3_1","att_check_3_2","att_check_3_3","att_check_4","comp_check_1","comp_check_2","comp_check_3","timer_First.Click","timer_Last.Click","timer_Page.Submit","timer_Click.Count","comp_check_4","comp_check_5","comp_check_6","lr_meaning_1","lr_preference_1","lr_word_gen_1","lf_meaning_1","lf_preference_1","lf_word_gen_1","ll_meaning_1","ll_preference_1","ll_word_gen_1","lm_meaning_1","lm_preference_1","lm_word_gen_1","lh_meaning_1","lh_preference_1","lh_word_gen_1","ercv_meaning_1","ercv_preference_1","ercv_word_gen_1","efcv_meaning_1","efcv_preference_1","efcv_word_gen_1","ercc_meaning_1","ercc_preference_1","ercc_word_gen_1","efcc_meaning_1","efcc_preference_1","efcc_word_gen_1","sfr_full_meaning_1","sfr_full_preference_1","sfr_full_word_gen_1","sfr_par_meaning_1","sfr_par_preference_1","sfr_par_word_gen_1","srf_full_meaning_1","srf_full_preference_1","srf_full_word_gen_1","srf_par_meaning_1","srf_par_preference_1","srf_par_word_gen_1","srfr_full_meaning_1","srfr_full_preference_1","srfr_full_word_gen_1","srfr_par_meaning_1","srfr_par_preference_1","srfr_par_word_gen_1","sfrf_full_meaning_1","sfrf_full_preference_1","sfrf_full_word_gen_1","sfrf_par_meaning_1","sfrf_par_preference_1","sfrf_par_word_gen_1","sfrfr_meaning_1","sfrfr_preference_1","sfrfr_word_gen_1","srfrf_meaning_1","srfrf_preference_1","srfrf_word_gen_1","log_rise_meaning_1","log_rise_preference_1","log_rise_word_gen_1","log_fall_meaning_1","log_fall_preference_1","log_fall_word_gen_1","pc_full_meaning_1","pc_full_preference_1","pc_full_word_gen_1","pc_par_meaning_1","pc_par_preference_1","pc_par_word_gen_1","nc_full_meaning_1","nc_full_preference_1","nc_full_word_gen_1","nc_par_meaning_1","nc_par_preference_1","nc_par_word_gen_1","lrsf_meaning_1","lrsf_preference_1","lrsf_word_gen_1","lrsfer_meaning_1","lrsfer_preference_1","lrsfer_word_gen_1","comp_check_7","comp_check_8","comp_check_9","gender","gender_4_TEXT","ethnicity","ethnicity_5_TEXT","age","education","education_9_TEXT","comments","FL_34_DO"
"1","8/16/20 12:04","8/16/20 12:14","IP Address",100,603,TRUE,"8/16/20 12:14","R_2vZWjaYbPpUAPM1",NA,NA,NA,NA,11.00750732,76.96710205,"anonymous","EN","I consent","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in life, then highly stressed later in life",NA,NA,NA,NA,NA,NA,"",70,50,"Somewhat bad",41,55,"Neutral",52,71,"Neutral",50,77,"Average",56,52,"Good",51,79,"Bad",70,45,"Happiness",52,71,"Neutral",54,81,"Neutral",51,67,"Neutral",50,73,"Somewhat good",59,84,"Neutral",49,70,"Neutral",52,72,"Neutral",52,63,"Neutral",51,69,"Impressive",52,63,"Unhappy",51,74,"Neutral",56,73,"Neutral",51,71,"Good",51,74,"Best",53,69,"Neutral",52,66,"Sad",52,65,"Neutral",51,79,"happy",53,83,"Neutral",51,81,"bad","Happiness","Age","Meaningfulness","Male","","White","",25,"Professional Degree (MD, JD, etc.)",NA,"","Exponential_Fall_Convex|Positive_Change_Partial|Sinusoidal_Fall_Rise_Partial|Linear_Rise|Sinusoidal_Fall_Rise_Fall_Partial|Exponential_Rise_Convex|Linear_Rise_Sharp_Fall_Exponential_Rise|Linear_Middle|Negative_Change_Partial|Logistic_Rise|Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Rise_Fall_Partial|Exponential_Fall_Concave|Sinusoidal_Rise_Fall_Rise_Fall|Positive_Change_Full|Sinusoidal_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Full|Sinusoidal_Rise_Fall_Full|Logistic_Fall|Negative_Change_Full|Linear_Low|Sinusoidal_Rise_Fall_Rise_Partial|Linear_High|Sinusoidal_Rise_Fall_Rise_Full|Linear_Rise_Sharp_Fall|Linear_Fall|Exponential_Rise_Concave"
"2","8/16/20 12:39","8/16/20 12:46","IP Address",100,407,TRUE,"8/16/20 12:46","R_PvTX2q9lXderBKh",NA,NA,NA,NA,30.67010498,-81.46579742,"anonymous","EN","I consent","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in life, then highly stressed later in life",NA,NA,NA,NA,NA,NA,"",74,49,"crazy",76,52,"doing ",67,45,"down",69,46,"dull",43,44,"crazy",49,51,"high",69,56,"low",63,54,"odd",49,58,"and ",54,34,"down",60,47,"different ",39,64,"Forward ",53,58,"Normal",71,43,"stressful ",60,54,"remote ",62,46,"cyclic",42,63,"stressed",25,59,"curvy ",62,40,"crazy",43,44,"dull",65,43,"yes ",51,74,"posh ",47,65,"variety ",69,54,"still ",59,51,"different ",61,44,"Crazy",64,45,"strange","Age","Happiness","Meaningfulness","Female","","White","",37,"Professional Degree (MD, JD, etc.)",NA,"","Sinusoidal_Rise_Fall_Partial|Sinusoidal_Rise_Fall_Rise_Fall|Exponential_Rise_Concave|Sinusoidal_Fall_Rise_Fall_Full|Sinusoidal_Fall_Rise_Full|Linear_Rise_Sharp_Fall_Exponential_Rise|Exponential_Rise_Convex|Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Partial|Exponential_Fall_Convex|Negative_Change_Partial|Positive_Change_Full|Exponential_Fall_Concave|Sinusoidal_Fall_Rise_Partial|Logistic_Rise|Linear_Rise_Sharp_Fall|Linear_Middle|Linear_Low|Logistic_Fall|Positive_Change_Partial|Linear_High|Negative_Change_Full|Linear_Fall|Sinusoidal_Rise_Fall_Rise_Partial|Sinusoidal_Rise_Fall_Full|Linear_Rise"
"3","8/16/20 12:11","8/16/20 12:47","IP Address",100,2154,TRUE,"8/16/20 12:47","R_1QiTq0pr4yeQx0y",NA,NA,NA,NA,41.58039856,-87.33499908,"anonymous","EN","I consent","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in life, then highly stressed later in life",NA,NA,NA,NA,NA,NA,"",65,84,"happiness is neutral",73,68,"some person life  happiness is neutral.",70,74,"nothing to happiness life of someperson",74,69," Happiness is half in both lives.",82,68,"HAPPIEST LIFE IS LEAST AND MOSTLY STRESSED LIFE",72,52,"some person life happiness is old age",85,72,"some person happiness kept in old age.",75,69,"LIFE IS SHORT",66,83,"life is full of happiness.",78,55,"some person life happiness kept in old  age.",60,61,"life is full of struggle",56,72,"life is half of happiness and half of stressed",61,51,"complete happiness is found in adolescence and half happiness in old age",77,85,"youth life is very happiest life",63,77,"some person life happiness increases and decreases",67,46,"life of happiness sometimes increase and sometimes decrease.",77,83,"young age life happiness is decreased and old age life happiness is increased",80,71,"life is live happiness",68,81,"life is full of happiness",77,66,"some person life full of happy",66,55,"young age life is full of happiness and decrease the happiness in old age life",74,67,"some person life is kept in happiness old age.",62,78,"young age life is full of happiness",61,76,"happiness is increase and decrease.",68,80,"young age life happiness is increase and decrease the old age happiness",57,69,"life happiness is decreased",89,76," Half happiness is found in adolescence and complete happiness in old age","Happiness","Age","Happiness","Male","","White","",32,"College Graduate (4 year)",NA,"very interesting survey.","Linear_High|Exponential_Rise_Concave|Sinusoidal_Fall_Rise_Partial|Sinusoidal_Rise_Fall_Full|Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Rise_Fall_Rise_Full|Logistic_Rise|Linear_Rise_Sharp_Fall_Exponential_Rise|Sinusoidal_Rise_Fall_Partial|Positive_Change_Partial|Logistic_Fall|Linear_Middle|Sinusoidal_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Full|Positive_Change_Full|Sinusoidal_Rise_Fall_Rise_Fall|Linear_Rise|Negative_Change_Full|Negative_Change_Partial|Exponential_Fall_Convex|Linear_Rise_Sharp_Fall|Exponential_Rise_Convex|Linear_Low|Exponential_Fall_Concave|Linear_Fall|Sinusoidal_Rise_Fall_Rise_Partial|Sinusoidal_Fall_Rise_Fall_Partial"
"4","8/16/20 13:03","8/16/20 13:15","IP Address",100,699,TRUE,"8/16/20 13:15","R_3RdAQ3cHMeFQO6y",NA,NA,NA,NA,33.5092926,-112.0562973,"anonymous","EN","I consent","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in life, then highly stressed later in life",NA,NA,NA,NA,NA,NA,"",79,82,"improving",18,5,"disease",1,0,"torture",66,48,"steady",100,100,"heaven",17,16,"slave",28,8,"redpilled",90,97,"enlightened",41,17,"wall",40,36,"worker",62,74,"spiritual",45,36,"wasted",62,50,"woman",39,43,"athlete",41,35,"crisis",44,34,"family",51,41,"dad",38,26,"parent",47,27,"rollercoaster",43,58,"jackpot",35,8,"bankrupt",57,58,"revelation",24,19,"depression",55,31,"crushed",48,35,"loss",18,4,"crippled",63,61,"determined","Happiness","Age","Meaningfulness","Male","","White","",37,"College Graduate (4 year)",NA,"n","Sinusoidal_Rise_Fall_Partial|Logistic_Rise|Linear_Middle|Negative_Change_Full|Sinusoidal_Rise_Fall_Rise_Partial|Linear_Rise|Sinusoidal_Rise_Fall_Full|Linear_Rise_Sharp_Fall|Negative_Change_Partial|Sinusoidal_Fall_Rise_Partial|Sinusoidal_Rise_Fall_Rise_Fall|Linear_Fall|Linear_Low|Positive_Change_Partial|Sinusoidal_Fall_Rise_Fall_Rise|Logistic_Fall|Linear_High|Exponential_Rise_Concave|Positive_Change_Full|Sinusoidal_Fall_Rise_Fall_Partial|Sinusoidal_Fall_Rise_Full|Exponential_Rise_Convex|Exponential_Fall_Convex|Sinusoidal_Fall_Rise_Fall_Full|Linear_Rise_Sharp_Fall_Exponential_Rise|Sinusoidal_Rise_Fall_Rise_Full|Exponential_Fall_Concave"
"5","8/16/20 13:24","8/16/20 13:34","IP Address",100,568,TRUE,"8/16/20 13:34","R_3Jxh68jShg9lC63",NA,NA,NA,NA,39.08279419,-77.16739655,"anonymous","EN","I consent","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in life, then highly stressed later in life",NA,NA,NA,NA,NA,NA,"",80,60,"increasing",30,0,"decreasing",0,0,"depressed ",0,40,"boring",100,100,"elated ",70,60,"upwards",10,0,"sad",80,100,"envious ",30,0,"downhill",60,20,"crisis",70,60,"meaningful ",70,40,"average",20,10,"sad",40,30,"changing ",60,55,"inconsistent ",40,19,"varying ",70,60,"happy",65,10,"slopes",70,5,"varying",70,25,"satisfied ",30,0,"sudden",10,5,"deceasing ",20,5,"sad",60,60,"steady",80,79,"steady",20,0,"unhappy ",60,20,"changing ","Happiness","Age","Meaningfulness","Male","","Asian","",28,"Masters Degree (MS)",NA,"I did not like describing the graph in one word. It was hard to come up with just one word to describe it.","Linear_Rise_Sharp_Fall|Linear_Low|Linear_High|Logistic_Rise|Sinusoidal_Rise_Fall_Rise_Partial|Sinusoidal_Fall_Rise_Fall_Full|Exponential_Fall_Concave|Exponential_Rise_Convex|Sinusoidal_Rise_Fall_Partial|Negative_Change_Full|Sinusoidal_Rise_Fall_Rise_Full|Exponential_Rise_Concave|Negative_Change_Partial|Linear_Fall|Sinusoidal_Rise_Fall_Full|Positive_Change_Full|Exponential_Fall_Convex|Positive_Change_Partial|Linear_Middle|Linear_Rise_Sharp_Fall_Exponential_Rise|Logistic_Fall|Sinusoidal_Fall_Rise_Full|Linear_Rise|Sinusoidal_Fall_Rise_Fall_Partial|Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Fall_Rise_Partial|Sinusoidal_Rise_Fall_Rise_Fall"
"6","8/16/20 13:48","8/16/20 14:09","IP Address",100,1275,TRUE,"8/16/20 14:09","R_1gihweoG2v83ybC",NA,NA,NA,NA,40.73640442,-73.86949921,"anonymous","EN","I consent","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in life, then highly stressed later in life",NA,NA,NA,NA,NA,NA,"",55,31,"gradual",75,74,"expected",4,1,"miserable",75,89,"stable",100,100,"ideal",41,10,"late",70,54,"parabolic",43,12,"delayed",100,100,"steady",31,4,"imbalance",46,7,"delayed",86,76,"normal",58,42,"acceptable",80,35,"acceptable",83,46,"timely",22,11,"tumultuous",55,16,"rollercoaster",75,30,"parabolic",79,52,"chaotic",47,19,"abrupt",70,70,"precipitous",40,7,"plummeting",20,2,"sad",79,45,"well-lived",69,34,"upward",37,9,"misleading",67,24,"challenging","Happiness","Age","Meaningfulness","Female","","Asian","",24,"Professional Degree (MD, JD, etc.)",NA,"","Linear_Rise_Sharp_Fall_Exponential_Rise|Negative_Change_Partial|Linear_Middle|Logistic_Fall|Linear_Fall|Exponential_Rise_Concave|Sinusoidal_Rise_Fall_Full|Logistic_Rise|Exponential_Fall_Concave|Linear_Low|Sinusoidal_Fall_Rise_Fall_Full|Linear_High|Positive_Change_Partial|Negative_Change_Full|Sinusoidal_Rise_Fall_Partial|Sinusoidal_Rise_Fall_Rise_Fall|Exponential_Fall_Convex|Linear_Rise_Sharp_Fall|Sinusoidal_Fall_Rise_Fall_Partial|Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Fall_Rise_Partial|Exponential_Rise_Convex|Positive_Change_Full|Sinusoidal_Rise_Fall_Rise_Partial|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Fall_Rise_Full|Linear_Rise"
"7","8/16/20 14:07","8/16/20 14:26","IP Address",100,1172,TRUE,"8/16/20 14:26","R_1Ka7PcUf2SxchKF",NA,NA,NA,NA,34.82870483,-86.88890076,"anonymous","EN","I consent","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in life, then highly stressed later in life",NA,NA,NA,NA,NA,NA,"",69,59,"fulfilling ",62,46,"normal",11,3,"Sad",38,33,"dull",96,100,"Amazing",32,23,"boring",62,37,"depressing ",83,78,"enjoyable ",79,82,"fun",71,50,"good",81,61,"interesting ",39,27,"lacking",58,56,"normal",63,28,"rocky",61,37,"lousy",54,36,"wild",62,34,"fulfilling ",57,29,"rocky",59,33,"lonley ",48,42,"regretful ",55,41,"depressing ",59,48,"normal",70,63,"normal",59,40,"boring",81,74,"great",41,23,"mediocre ",53,33,"unique ","Happiness","Age","Meaningfulness","Male","","White","",28,"High School or Equivalent",NA,"","Linear_Low|Exponential_Fall_Concave|Linear_Rise|Sinusoidal_Fall_Rise_Partial|Negative_Change_Full|Positive_Change_Partial|Logistic_Fall|Sinusoidal_Rise_Fall_Partial|Linear_Middle|Linear_High|Negative_Change_Partial|Sinusoidal_Fall_Rise_Fall_Full|Logistic_Rise|Positive_Change_Full|Linear_Fall|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Partial|Linear_Rise_Sharp_Fall_Exponential_Rise|Sinusoidal_Rise_Fall_Rise_Partial|Linear_Rise_Sharp_Fall|Exponential_Fall_Convex|Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Fall_Rise_Full|Exponential_Rise_Concave|Exponential_Rise_Convex|Sinusoidal_Rise_Fall_Full|Sinusoidal_Rise_Fall_Rise_Fall"
"8","8/16/20 15:08","8/16/20 15:23","IP Address",100,907,TRUE,"8/16/20 15:23","R_0ech9febXIYdyIF",NA,NA,NA,NA,37.75100708,-97.8219986,"anonymous","EN","I consent","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in life, then highly stressed later in life",NA,NA,NA,NA,NA,NA,"",42,44,"happy life",32,59,"sadness",7,17,"saddness",42,57,"simple life",37,50,"hapiness",40,61,"sadness",35,54,"simplse life",47,52,"none",34,51,"simple life",45,38,"counterculture",39,57,"existence",39,60,"existence",41,65,"happy",26,49,"ENLIGHTENMENT",49,42,"existence",41,51,"HAPINESS",31,40,"simple life",33,47,"NONE",39,61,"none",41,45,"happy",39,68,"simple",40,56,"happy life",41,57,"none",32,37,"simple",48,51,"happy",42,66,"hapiness",38,60,"existence","Happiness","Age","Meaningfulness","Male","","White","",34,"College Graduate (4 year)",NA,"none","Sinusoidal_Fall_Rise_Fall_Full|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Rise|Linear_Rise_Sharp_Fall|Sinusoidal_Fall_Rise_Partial|Linear_High|Sinusoidal_Fall_Rise_Full|Linear_Rise_Sharp_Fall_Exponential_Rise|Sinusoidal_Rise_Fall_Full|Sinusoidal_Rise_Fall_Rise_Fall|Exponential_Rise_Convex|Negative_Change_Partial|Sinusoidal_Fall_Rise_Fall_Partial|Linear_Rise|Sinusoidal_Rise_Fall_Rise_Partial|Exponential_Fall_Concave|Exponential_Fall_Convex|Logistic_Rise|Linear_Middle|Positive_Change_Partial|Logistic_Fall|Exponential_Rise_Concave|Positive_Change_Full|Sinusoidal_Rise_Fall_Partial|Negative_Change_Full|Linear_Low|Linear_Fall"
"9","8/17/20 7:15","8/17/20 7:23","IP Address",100,422,TRUE,"8/17/20 7:23","R_XBZ3PqSJKbr8B3j",NA,NA,NA,NA,41.70300293,-83.57099915,"anonymous","EN","I consent","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in life, then highly stressed later in life",NA,NA,NA,NA,NA,NA,"",82,84,"straight",6,6,"down",5,0,"horrible",63,61,"bland",100,100,"amazing",87,87,"growth",64,8,"bad",86,83,"nice",6,0,"sad",37,20,"down",18,23,"utility",69,54,"mountain",64,28,"fun",36,52,"bad",71,53,"wild",51,29,"wild",93,57,"odd",74,62,"crazy",56,10,"crazy",47,65,"weird",19,20,"steep",54,23,"bad",36,0,"not fun",51,51,"peak",87,66,"normal",14,4,"poor",86,9,"crisis","Happiness","Age","Meaningfulness","Male","","White","",29,"Masters Degree (MS)",NA,"","Exponential_Rise_Convex|Linear_Rise_Sharp_Fall_Exponential_Rise|Negative_Change_Partial|Sinusoidal_Fall_Rise_Fall_Partial|Exponential_Rise_Concave|Linear_Rise|Exponential_Fall_Convex|Linear_Low|Sinusoidal_Rise_Fall_Rise_Fall|Linear_High|Positive_Change_Partial|Sinusoidal_Rise_Fall_Rise_Partial|Logistic_Fall|Logistic_Rise|Exponential_Fall_Concave|Linear_Middle|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Rise_Fall_Full|Linear_Rise_Sharp_Fall|Sinusoidal_Fall_Rise_Partial|Linear_Fall|Sinusoidal_Fall_Rise_Fall_Full|Positive_Change_Full|Sinusoidal_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Rise|Negative_Change_Full|Sinusoidal_Rise_Fall_Partial"
"10","8/17/20 7:15","8/17/20 7:27","IP Address",100,698,TRUE,"8/17/20 7:27","R_2czlDsWTtTUwGid",NA,NA,NA,NA,38.00120544,-84.53250122,"anonymous","EN","I consent","Paul","Purple",NA,NA,NA,NA,80,0,"They were highly unstressed early in life, then highly stressed later in life",NA,NA,NA,NA,NA,NA,"",62,70,"progress",38,26,"slide",0,0,"flat",28,15,"steady",100,78,"constant",49,68,"progressive",43,23,"fall",82,82,"progress",59,49,"rollercoaster",66,44,"foundational",70,30,"persistence",56,37,"hill",49,13,"decline",72,52,"unsteady",47,45,"waves",48,34,"unstable",67,43,"change",86,44,"turbulent",56,38,"rocky",55,32,"climb",55,10,"shattering",40,4,"hectic",63,40,"rebound",63,43,"peak",61,69,"progress",11,0,"distressed",86,87,"growth","Happiness","Age","Meaningfulness","Female","","White","",38,"Some College",NA,"","Linear_Rise_Sharp_Fall_Exponential_Rise|Positive_Change_Partial|Sinusoidal_Rise_Fall_Partial|Exponential_Fall_Concave|Logistic_Rise|Exponential_Fall_Convex|Linear_Fall|Linear_Middle|Linear_High|Linear_Rise|Negative_Change_Full|Sinusoidal_Fall_Rise_Fall_Rise|Linear_Low|Sinusoidal_Rise_Fall_Rise_Partial|Sinusoidal_Rise_Fall_Full|Sinusoidal_Fall_Rise_Fall_Full|Sinusoidal_Fall_Rise_Fall_Partial|Exponential_Rise_Concave|Negative_Change_Partial|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Fall_Rise_Partial|Sinusoidal_Rise_Fall_Rise_Fall|Sinusoidal_Fall_Rise_Full|Positive_Change_Full|Linear_Rise_Sharp_Fall|Logistic_Fall|Exponential_Rise_Convex"
