StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,att_check_1,att_check_2,att_check_3_1,att_check_3_2,att_check_3_3,att_check_4,comp_check_1,comp_check_2,comp_check_3,lr_meaning_1,lr_preference_1,lr_word_gen_1,lf_meaning_1,lf_preference_1,lf_word_gen_1,ll_meaning_1,ll_preference_1,ll_word_gen_1,lm_meaning_1,lm_preference_1,lm_word_gen_1,lh_meaning_1,lh_preference_1,lh_word_gen_1,ercv_meaning_1,ercv_preference_1,ercv_word_gen_1,efcv_meaning_1,efcv_preference_1,efcv_word_gen_1,ercc_meaning_1,ercc_preference_1,ercc_word_gen_1,efcc_meaning_1,efcc_preference_1,efcc_word_gen_1,sfr_full_meaning_1,sfr_full_preference_1,sfr_full_word_gen_1,sfr_par_meaning_1,sfr_par_preference_1,sfr_par_word_gen_1,srf_full_meaning_1,srf_full_preference_1,srf_full_word_gen_1,srf_par_meaning_1,srf_par_preference_1,srf_par_word_gen_1,srfr_full_meaning_1,srfr_full_preference_1,srfr_full_word_gen_1,srfr_par_meaning_1,srfr_par_preference_1,srfr_par_word_gen_1,sfrf_full_meaning_1,sfrf_full_preference_1,sfrf_full_word_gen_1,sfrf_par_meaning_1,sfrf_par_preference_1,sfrf_par_word_gen_1,sfrfr_meaning_1,sfrfr_preference_1,sfrfr_word_gen_1,srfrf_meaning_1,srfrf_preference_1,srfrf_word_gen_1,log_rise_meaning_1,log_rise_preference_1,log_rise_word_gen_1,log_fall_meaning_1,log_fall_preference_1,log_fall_word_gen_1,pc_full_meaning_1,pc_full_preference_1,pc_full_word_gen_1,pc_par_meaning_1,pc_par_preference_1,pc_par_word_gen_1,nc_full_meaning_1,nc_full_preference_1,nc_full_word_gen_1,nc_par_meaning_1,nc_par_preference_1,nc_par_word_gen_1,lrsf_meaning_1,lrsf_preference_1,lrsf_word_gen_1,lrsfer_meaning_1,lrsfer_preference_1,lrsfer_word_gen_1,comp_check_4,comp_check_5,comp_check_6,gender,gender_4_TEXT,ethnicity,ethnicity_5_TEXT,age,education,education_9_TEXT,comments,FL_34_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Study Title: Visual Judgment Task

Version Date: -- March 2018


Participation is voluntary

It is your choice whether or not to participate in this research.  If you choose to participate, you may change your mind and leave the study at any time.  Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research?

The purpose of this research is to examine human visual performance and judgments. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research?

Your participation will take approximately 10 minutes to complete.  



What can I expect if I take part in this research?

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.

 

What are the risks and possible discomforts?

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 120 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session. Some of the images and stories are mildly emotional, and some of the written stories are disgust-inducing.



Will I be compensated for participating in this research? 

You will be compensated $0.83 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to?

The researcher for this study is X who can be reached at #700, 33 Kirkland St, Cambridge MA, 02138; X. The faculty sponsor is George A. Alvarez who can be reached at alvarez@wjh.harvard.edu.

	If you have questions, concerns, or complaints,
	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.



This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 44-R Brattle Street, Suite 200, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:

	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.",This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","Please set X at 15, and make it so Y is larger than X, and Z is larger than Y. Please also make sure that Y is evenly divisible by 10. - X","Please set X at 15, and make it so Y is larger than X, and Z is larger than Y. Please also make sure that Y is evenly divisible by 10. - Y","Please set X at 15, and make it so Y is larger than X, and Z is larger than Y. Please also make sure that Y is evenly divisible by 10. - Z",How many fatal heart attacks have you had?,How old was the person above when they felt the most stressed in life?,How stressed did the person above feel when they were 20 years old?,Which is true of the life of the person above?,How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",How meaningful was this person’s life overall? - 1,How much would you like for your life line to look like this? - 1,"If you had to summarize this person’s life using just one word, what would it be? - 1",You just saw many plots. What was labeled on the y-axis?,What was labeled on the x-axis?,The first question after each plot asked you to assess the following about the person’s life line:,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other - Text,Any comments on the survey?,FL_34 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID138""}","{""ImportId"":""QID140""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID3""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID7""}","{""ImportId"":""QID141_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID95_1""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID105_1""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID111_1""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID123_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID128_1""}","{""ImportId"":""QID129_1""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID132_1""}","{""ImportId"":""QID133_1""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_4_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_5_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_9_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""FL_34_DO""}"
2020-06-15 09:50:02,2020-06-15 09:58:17,0,174.255.129.249,100,495,1,2020-06-15 09:58:18,R_1f2BLdO0VhAemGX,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,1,2,2,,,,,5,1,2,77,52,happy,36,23,declining,0,0,sad,40,29,average,100,100,perfect,70,62,good,43,24,sad,61,52,alright,35,10,depressing,52,52,rocky,61,43,ok,48,32,normal,21,4,depressing,51,32,confusing,50,42,rocky,52,51,rocky,63,40,rocky,50,39,rocky,39,29,confusing,71,46,happy,25,10,sad,80,79,happy,92,92,happy,39,30,alright,61,51,good,21,6,sad,41,22,normal,2,4,3,2,,1,,31,4,,no comments,Positive_Change_Partial|Sinusoidal_Fall_Rise_Fall_Rise|Positive_Change_Full|Exponential_Rise_Convex|Linear_High|Sinusoidal_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Full|Exponential_Rise_Concave|Linear_Low|Sinusoidal_Fall_Rise_Partial|Exponential_Fall_Convex|Negative_Change_Partial|Linear_Rise_Sharp_Fall_Exponential_Rise|Exponential_Fall_Concave|Linear_Fall|Linear_Rise_Sharp_Fall|Logistic_Rise|Sinusoidal_Rise_Fall_Full|Sinusoidal_Rise_Fall_Partial|Sinusoidal_Rise_Fall_Rise_Partial|Linear_Rise|Linear_Middle|Negative_Change_Full|Sinusoidal_Fall_Rise_Fall_Partial|Sinusoidal_Rise_Fall_Rise_Fall|Sinusoidal_Rise_Fall_Rise_Full|Logistic_Fall
2020-06-15 09:55:09,2020-06-15 10:03:05,0,65.188.179.223,100,475,1,2020-06-15 10:03:05,R_22zisaQCMBLoTXG,,,,,36.1053009033203125,-79.87619781494140625,anonymous,EN,1,2,2,,,,,5,1,2,61,49,improving,38,21,declining,0,0,sad,43,33,stagnant,46,35,high,58,55,improving,34,13,declining,49,35,improving,16,37,declining,51,34,changing,22,56,improving,42,31,changing,57,39,changing,58,46,changing,50,42,changing,54,36,changing,57,49,changing,52,27,changing,53,47,changing,43,33,improving,39,44,declining,44,30,changing,38,11,declining,34,24,declining,40,29,increasing,38,21,sad,58,42,improving,2,4,3,2,,1,,23,5,,,Linear_Rise_Sharp_Fall|Linear_Low|Sinusoidal_Rise_Fall_Rise_Fall|Positive_Change_Partial|Exponential_Rise_Convex|Exponential_Fall_Convex|Sinusoidal_Fall_Rise_Fall_Partial|Linear_Middle|Negative_Change_Full|Logistic_Rise|Linear_Fall|Sinusoidal_Rise_Fall_Partial|Sinusoidal_Fall_Rise_Partial|Linear_Rise|Positive_Change_Full|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Rise_Fall_Full|Sinusoidal_Rise_Fall_Rise_Partial|Sinusoidal_Fall_Rise_Fall_Full|Exponential_Rise_Concave|Linear_Rise_Sharp_Fall_Exponential_Rise|Sinusoidal_Fall_Rise_Fall_Rise|Logistic_Fall|Linear_High|Exponential_Fall_Concave|Negative_Change_Partial|Sinusoidal_Fall_Rise_Full
2020-06-15 10:26:43,2020-06-15 10:33:22,0,97.101.152.117,100,399,1,2020-06-15 10:33:22,R_2TnQ9JFPVKTjq0J,,,,,28.3773956298828125,-81.1887969970703125,anonymous,EN,1,2,2,,,,,5,1,2,4,0,sad,10,2,depression,41,4,boring,46,39,consistent,0,0,worried,62,61,gradual,31,40,sad,93,90,happy,18,6,decline,17,7,inverse,44,4,stress,57,43,normal,37,27,peaked,70,71,fun,68,74,nice,33,28,odd,23,20,peaked,44,35,odd,27,13,inconsistent,45,38,miracle,8,3,tragic,35,33,worker,40,42,drastic,35,33,young,41,41,old,5,3,tragic,29,25,survivor,2,4,3,1,,1,,20,2,,,Linear_Low|Sinusoidal_Rise_Fall_Full|Sinusoidal_Rise_Fall_Partial|Linear_High|Sinusoidal_Rise_Fall_Rise_Fall|Sinusoidal_Fall_Rise_Fall_Rise|Positive_Change_Partial|Linear_Rise|Sinusoidal_Fall_Rise_Full|Sinusoidal_Fall_Rise_Partial|Linear_Middle|Exponential_Fall_Convex|Sinusoidal_Rise_Fall_Rise_Partial|Linear_Fall|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Full|Negative_Change_Partial|Linear_Rise_Sharp_Fall|Negative_Change_Full|Sinusoidal_Fall_Rise_Fall_Partial|Exponential_Rise_Convex|Positive_Change_Full|Logistic_Rise|Logistic_Fall|Linear_Rise_Sharp_Fall_Exponential_Rise|Exponential_Fall_Concave|Exponential_Rise_Concave
2020-06-15 10:22:44,2020-06-15 11:07:41,0,68.32.188.59,100,2696,1,2020-06-15 11:07:41,R_1is4VEgxZv68XHe,,,,,42.737701416015625,-84.52390289306640625,anonymous,EN,1,2,1,89,95,93,1,2,2,2,74,77,good,85,90,super,83,90,good,86,87,bad,88,87,full,80,99,nice,88,82,bad,88,86,nice,79,78,good,89,87,good,90,88,good,80,83,nice,85,84,nice,86,89,good,89,86,good,85,89,good,82,88,devil,85,88,devil,83,88,nice,90,83,devil,78,81,devil,88,88,good,91,90,good,86,88,good,87,89,devil,85,72,good,84,77,good,2,1,2,1,,1,,25,5,,nice survey,Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Fall_Rise_Partial|Exponential_Rise_Concave|Negative_Change_Full|Sinusoidal_Fall_Rise_Fall_Full|Negative_Change_Partial|Logistic_Rise|Sinusoidal_Rise_Fall_Full|Exponential_Fall_Convex|Sinusoidal_Rise_Fall_Partial|Sinusoidal_Rise_Fall_Rise_Full|Linear_High|Sinusoidal_Fall_Rise_Full|Linear_Low|Linear_Rise_Sharp_Fall|Positive_Change_Full|Positive_Change_Partial|Sinusoidal_Fall_Rise_Fall_Partial|Linear_Middle|Sinusoidal_Rise_Fall_Rise_Fall|Linear_Fall|Sinusoidal_Rise_Fall_Rise_Partial|Linear_Rise_Sharp_Fall_Exponential_Rise|Logistic_Fall|Exponential_Rise_Convex|Exponential_Fall_Concave|Linear_Rise
2020-06-15 10:55:51,2020-06-15 11:15:04,0,38.68.50.123,100,1153,1,2020-06-15 11:15:04,R_3nMK3HoWTOQBvSA,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,1,2,2,,,,,3,4,3,57,45,normal,54,67,normal,62,54,sad life,58,61,normal,67,55,Very very Happy,58,48,some normal,67,59,normal happy normal sad,57,47,some happy,63,49,some happy,55,67,normal,63,49,some happy normal sad,55,66,normal,65,52,some sad,48,61,Normal life,51,64,normal,59,44,Normal life,53,60,normal,68,51,normal,51,65,some normal,56,66,normal,50,63,Happy life,65,57,normal,57,71,Most happy some sad,54,68,More Happy some sad,60,47,normal some sad,56,48,some sad,63,51,normal,2,4,3,1,,5,Native American,30,5,,good study,Linear_Low|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Full|Logistic_Fall|Linear_High|Negative_Change_Full|Positive_Change_Partial|Exponential_Fall_Convex|Sinusoidal_Fall_Rise_Partial|Linear_Rise|Negative_Change_Partial|Sinusoidal_Fall_Rise_Fall_Rise|Logistic_Rise|Linear_Rise_Sharp_Fall_Exponential_Rise|Sinusoidal_Rise_Fall_Full|Exponential_Rise_Convex|Sinusoidal_Rise_Fall_Rise_Fall|Sinusoidal_Rise_Fall_Partial|Exponential_Rise_Concave|Linear_Fall|Positive_Change_Full|Linear_Middle|Linear_Rise_Sharp_Fall|Sinusoidal_Fall_Rise_Full|Sinusoidal_Rise_Fall_Rise_Partial|Exponential_Fall_Concave|Sinusoidal_Fall_Rise_Fall_Partial
2020-06-15 11:26:46,2020-06-15 11:35:32,0,97.96.195.129,100,525,1,2020-06-15 11:35:32,R_0xiqYRQINahxKUx,,,,,27.8802947998046875,-82.75370025634765625,anonymous,EN,1,2,2,,,,,5,1,2,60,39,better,27,16,downhill,0,0,death,48,47,mediocrity,81,100,optimal,55,17,late,10,7,terrible,74,60,found,51,46,above,41,26,sad,62,29,bloomer,36,24,peaked,41,34,normal,40,33,erratic,41,32,ok,33,32,erratic,39,33,peak,51,40,erratic,30,25,erratic,67,20,changed,32,23,early,38,28,down,43,20,unortunate,51,33,peaked,57,62,uplifting,28,16,deceptful,53,13,topsy,2,4,3,1,,1,,32,4,,,Linear_Rise|Sinusoidal_Rise_Fall_Full|Linear_Fall|Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Fall_Rise_Fall_Full|Sinusoidal_Fall_Rise_Full|Sinusoidal_Rise_Fall_Rise_Fall|Negative_Change_Partial|Positive_Change_Full|Exponential_Fall_Convex|Sinusoidal_Rise_Fall_Rise_Partial|Linear_Rise_Sharp_Fall|Logistic_Fall|Exponential_Fall_Concave|Linear_Low|Negative_Change_Full|Logistic_Rise|Sinusoidal_Rise_Fall_Partial|Linear_High|Positive_Change_Partial|Linear_Rise_Sharp_Fall_Exponential_Rise|Exponential_Rise_Concave|Linear_Middle|Sinusoidal_Fall_Rise_Partial|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Partial|Exponential_Rise_Convex
2020-06-15 11:39:43,2020-06-15 11:48:23,0,199.115.98.154,100,520,1,2020-06-15 11:48:23,R_3rVxUSvu9N64NGc,,,,,39.7501068115234375,-104.995697021484375,anonymous,EN,1,2,2,,,,,5,1,2,94,96,wonderful,0,0,bad,0,0,terrible,51,51,average,98,98,"ecstatic ",82,76,wonderful,54,0,sad,93,92,excellent,48,7,downward,49,40,good,62,39,good,45,0,depressing,21,3,sad,32,3,good,18,9,sad,53,4,average,6,0,sad,9,3,"unfulfilling ",62,20,sad,77,48,good,11,0,sad,32,17,average,17,13,sad,52,3,sad,87,72,great,43,7,"terrible ",80,39,good,2,4,3,1,,2,,24,5,,none,Exponential_Rise_Convex|Linear_Rise_Sharp_Fall_Exponential_Rise|Logistic_Fall|Logistic_Rise|Sinusoidal_Fall_Rise_Fall_Partial|Linear_Fall|Linear_Middle|Sinusoidal_Rise_Fall_Rise_Full|Linear_Low|Negative_Change_Full|Exponential_Rise_Concave|Sinusoidal_Fall_Rise_Fall_Full|Sinusoidal_Rise_Fall_Partial|Sinusoidal_Fall_Rise_Fall_Rise|Exponential_Fall_Concave|Sinusoidal_Fall_Rise_Partial|Linear_High|Negative_Change_Partial|Sinusoidal_Fall_Rise_Full|Sinusoidal_Rise_Fall_Rise_Fall|Exponential_Fall_Convex|Positive_Change_Partial|Linear_Rise|Sinusoidal_Rise_Fall_Rise_Partial|Positive_Change_Full|Linear_Rise_Sharp_Fall|Sinusoidal_Rise_Fall_Full
2020-06-15 11:38:27,2020-06-15 11:50:18,0,205.152.158.201,100,711,1,2020-06-15 11:50:19,R_32JXQ9WNW8YoGoT,,,,,38.220001220703125,-85.6941986083984375,anonymous,EN,1,2,2,,,,,5,1,2,82,41,growth,14,4,spiral,0,1,braindead,50,4,boredom,100,96,enlightened,37,20,late,23,24,success,70,55,family,28,19,emotional,25,13,reversed,83,77,marriage,79,73,average,46,20,death,44,24,Swings,62,24,complications,43,9,extremes,30,20,midde-age,83,71,depression,34,11,moody,87,13,difficult,43,11,trauma,82,39,bliss,40,16,retired,70,90,Retirement,71,64,bliss,21,7,shock,61,18,complicated,2,4,3,1,,1,,,5,,,Negative_Change_Full|Sinusoidal_Rise_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Partial|Logistic_Fall|Sinusoidal_Rise_Fall_Full|Sinusoidal_Rise_Fall_Rise_Fall|Negative_Change_Partial|Sinusoidal_Fall_Rise_Full|Sinusoidal_Fall_Rise_Fall_Full|Exponential_Fall_Convex|Linear_Rise_Sharp_Fall_Exponential_Rise|Exponential_Fall_Concave|Sinusoidal_Rise_Fall_Rise_Partial|Positive_Change_Partial|Exponential_Rise_Concave|Sinusoidal_Rise_Fall_Partial|Exponential_Rise_Convex|Positive_Change_Full|Linear_Rise_Sharp_Fall|Sinusoidal_Fall_Rise_Fall_Rise|Sinusoidal_Fall_Rise_Partial|Logistic_Rise|Linear_High|Linear_Fall|Linear_Middle|Linear_Low|Linear_Rise
