"","max","min","end_value","start_value","number_peaks","number_valleys","number_extrema","integral","d1_sum_unweight","d1_sum_weight_prime","d1_sum_weight_asc","d1_sum_weight_des","d1_sum_weight_end","d1_avg_unweight","d1_avg_weight_prime","d1_avg_weight_asc","d1_avg_weight_des","d1_avg_weight_end","d2_sum_unweight","d2_sum_weight_prime","d2_sum_weight_asc","d2_sum_weight_des","d2_sum_weight_end","d2_avg_unweight","d2_avg_weight_prime","d2_avg_weight_asc","d2_avg_weight_des","d2_avg_weight_end"
"linear_rise",-0.088794549866717,-0.221690809414104,-0.0887944342895764,-0.221690924991244,-0.221690924991244,-0.221690924991244,-0.221690924991244,5.09416870307547,-0.0887944342895764,-0.0688599606843262,-0.138630618302702,-0.138630618302702,-0.0555703116141594,-0.220029718857473,-0.219780537937408,-0.220652671157637,-0.220652671157637,-0.219614417324031,-0.221690924991244,-0.221690924991244,-0.221690924991244,-0.221690924991244,-0.221690924991244,-0.221690924991244,-0.221690924991244,-0.221690924991244,-0.221690924991244,-0.221690924991244
"linear_fall",-0.043700266360701,-0.175385434655352,-0.175385549179231,-0.0437001518368216,-0.175385549179231,-0.175385549179231,-0.175385549179231,5.09203034451716,-0.307070946521641,-0.326823756123003,-0.257688922518237,-0.257688922518237,-0.339992295857244,-0.177031616646011,-0.177278526766028,-0.176414341345969,-0.176414341345969,-0.177443133512706,-0.175385549179231,-0.175385549179231,-0.175385549179231,-0.175385549179231,-0.175385549179231,-0.175385549179231,-0.175385549179231,-0.175385549179231,-0.175385549179231,-0.175385549179231
"linear_low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"linear_middle",-0.132496288929064,-0.132496288929064,-0.132496288929064,-0.132496288929064,-0.198744433393596,-0.198744433393596,-0.198744433393596,5.10110712376896,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596
"linear_high",-0.132496288929064,-0.132496288929064,-0.132496288929064,-0.132496288929064,-0.198744433393596,-0.198744433393596,-0.198744433393596,5.10110712376896,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596,-0.198744433393596
"exp_rise_convex",0.0479571959513556,-0.27421530848282,0.0479585043130343,-0.27421531690999,-0.27421531690999,-0.27421531690999,-0.27421531690999,5.04450812580065,0.0479585043130343,0.0570049429867318,0.0141550243977648,-0.159868381688965,0.270913067842199,-0.270188144144703,-0.270075063661281,-0.270610687643644,-0.272785980219728,-0.267401212100588,-0.255594604766207,-0.2550717468573,-0.257548347831273,-0.267606395808978,-0.242708477852297,-0.273982558008193,-0.273976022284332,-0.274006979796507,-0.274132705396228,-0.273821481421769
"exp_fall_convex",0.15466355850592,-0.160600297395318,-0.160600305426449,0.154664838811166,-0.160600305426449,-0.160600305426449,-0.160600305426449,5.04406873615091,-0.475865449664064,-0.53213767712745,-0.272495191512276,-0.442786849637641,-0.482669138025922,-0.164541119729419,-0.165244522572712,-0.161998991502522,-0.164127637229089,-0.164626165833943,-0.142378894768278,-0.139126523283508,-0.154133105651321,-0.144290741878863,-0.141985661320504,-0.160372537793222,-0.160331883149662,-0.16051946542926,-0.160396435882104,-0.160367622375125
"exp_rise_concave",-0.124515170706642,-0.20903528201336,-0.124515168553549,-0.209035625254553,-0.208300681637343,-0.208300681637343,-0.208300681637343,5.09920373362386,-0.12378022493634,-0.108694020667582,-0.17830241812061,-0.132648374277822,-0.121956202020689,-0.207244175928581,-0.207055598375222,-0.207925703343384,-0.207355027795349,-0.207221375642135,-0.21318571881546,-0.21405765765259,-0.210034494234649,-0.212673165512684,-0.213291142047947,-0.20836174460207,-0.208372643837534,-0.20832235429481,-0.208355337685785,-0.208363062392476
"exp_fall_concave",-0.0950631479994689,-0.179080319563621,-0.179080660762346,-0.0950631458018046,-0.178350090451155,-0.178350090451155,-0.178350090451155,5.09757184629168,-0.262367605411696,-0.264726764494584,-0.253552226282759,-0.208169848320228,-0.320510406418067,-0.179400309388162,-0.179429798876698,-0.17929011714905,-0.178722837424518,-0.180127094400741,-0.183206059055858,-0.183342411606221,-0.182696555718265,-0.180073585939924,-0.186566544264318,-0.178410790058714,-0.178412494465593,-0.178404421266994,-0.178371634144765,-0.17845279612382
"sin_fr_full",-0.0718403455525632,-0.203578819842114,-0.0718849775114843,-0.0718403455525294,-0.203578819842114,-0.202261435099218,-0.202261435099218,5.09664886064129,-0.203623451801069,-0.260603564553434,-0.138060068226218,-0.269153361406702,-0.139617332334186,-0.203579377741601,-0.204291629151005,-0.202759835446915,-0.204398501611671,-0.202779301248265,-0.203770348074359,-0.202252580724,-0.203793852400674,-0.20360319757386,-0.20916356261036,-0.203581213945017,-0.203562241853137,-0.203581507749096,-0.20357912456376,-0.203648629126717
