"plot_names","words"
"linear_rise","actualized, amazing, angry, ascending, ascension, awesome, bad, best, blessed, challenging, clever, climbing, constant, developing, elevated, even, evolving, excellent, exhilaration, fortunate, fulfilled, fulfilling, fun, gaining, good, gradual, grand, gratifying, great, growing, grown, growth, happier, happiness, happy, hard, highspirit, hopeful, immaculate, improved, improvement, improving, increase, increasing, incremental, joyful, late, lonley, meaningful, mindful, momentous, neutral, nice, normal, perfect, pleasant, positive, progress, progressive, purposeful, ramp, rapid, rare, rising, sad, soaring, somewhat, static, steady, straight, stressful, success, successful, tense, this, thriving, unsure, up, uplift, uplifting, upwards, very"
"linear_fall","aimless, attitude, awful, bad, crashing, cynical, decline, declining, decrease, decreasing, depressed, depressing, desperate, digressed, disaaapointing, disease, disillusionment, dont, down, downfall, downhill, downslope, downturned, downward, drop, drudgery, dying, easier, easy, emotional, enjoyed, expected, failed, failure, fatalistic, freefall, frustrated, good, grief, happiness, hard, least, loss, meanigless, meaning, meaningful, miserable, neutral, normal, nosedive, perilous, pesimist, poor, progress, sad, sadness, slide, spiral, steady, stressless, terrible, tired, to, tragic, tumbling, understanding, unfortunate, unhappy, very, welllived, worrisome, worst"
"linear_low","abysmal, awful, bad, bleak, calm, crappy, crazy, dark, dead, death, depressed, depressing, depression, despair, despondency, disaster, dismal, doomed, easy, extremely, flat, flatline, grey, gutter, happiness, hell, horrible, keeps, low, meaningless, miserable, neutral, no, nonexistent, nothing, omnipotent, pain, pitiable, pointless, sad, saddness, safe, shitty, sorrowful, stable, static, steady, stressful, suicodal, terrible, torture, tortured, tragic, unblessed, undesirable, uneventful, unhappy, unlucky, vague, very, waste, worse, worst"
"linear_middle","alright, avarage, average, balanced, beige, best, blah, bland, boring, centered, conditionally, consistent, constant, content, decent, dull, dysthymia, empty, equal, equanimity, even, flat, flatline, futile, good, happy, healthy, horserace, lazy, level, meaningless, mediocre, medium, mid, moderate, monotone, neutral, normal, okay, perfect, pesimist, placid, plain, psychopathic, rut, secure, simple, solid, somewhat, stabilized, stable, stagnant, stalled, static, steady, straight, temperate, uncomplicated, uneventful, unwavering, very, wonderful, zombie"
"linear_high","amazing, angry, awesome, beautiful, best, blessed, bliss, blissful, constant, content, contentment, dreamlike, easy, ecstatic, elated, enjoyable, estatic, euphoria, excellent, exceptional, fake, fixed, fulfillment, good, great, hapiness, happiness, happy, hard, harsh, heaven, heavenly, high, ideal, incredible, inspiring, interest, jackpot, joyful, joyous, joyus, lucky, manic, maxed, mighty, most, neutral, nice, optimistic, optomistic, overjoyed, overwhelming, perfect, perfection, positive, rich, simple, sky, steady, stressful, superb, superior, sweetness, unbelievable, unlikely, unreal, wild, wonderful, worst, worthwhile"
"exp_rise_convex","accomplished, accomplishment, achievement, afraid, amusing, appreciated, average, awesome, awful, bad, best, better, bittersweet, blooming, bombed, boring, challenging, compounded, curved, delayed, discoverty, dormant, ecstatic, enduring, excelsior, exponential, extreme, fair, family, fine, fortitude, fortunate, fulfilled, fulfilling, good, gradual, great, growth, happiest, happiness, happy, hard, hopeful, improved, improvement, improving, increase, increasing, insignificant, late, learning, life, meanin, meaningful, miracle, neutral, nice, normal, okay, parabola, perseverance, persistent, pleased, poor, precautious, pressure, progress, progressive, purposeful, raise, rising, sad, sadness, satisfactory, satisfied, satisfying, slave, sloping, slow, smiling, soaring, steady, stressing, successful, tragic, turnaround, unexpected, unsatisfying, uphill, uplifted, upturned, upward, upwards, wonderful, work, worsenign, worthy"
"exp_fall_convex","abrupt, advancing, average, awful, bachelor, bad, burdened, comfortable, complacent, crash, creep, curve, curveball, deavastating, decay, decline, declined, declining, decreasing, degenerative, depreciating, depressed, depressing, depression, despair, despairing, deterioration, digressed, disappointing, dissapointment, downfall, downhill, downturn, downward, dwindle, egoist, empty, fading, failure, faithful, fall, fallen, good, happiness, horrible, improving, lovely, low, lower, meaningless, misery, misfortune, morbid, negative, normal, overwhelmed, pain, parabolic, peaked, pointless, progressive, purposeless, redpilled, revolting, sad, saddening, simplse, slow, sorrowful, spiraling, stable, steady, stress, stressful, succesful, swooping, terrible, tragedy, tragic, unfortunate, unfulfilled, unhappy, unlucky, wait, worse, worst, yikes"
"exp_rise_concave","amazing, arisen, awesome, bad, beautiful, best, better, blessed, climb, confused, considerable, content, declining, delayed, earned, ecstatic, enjoyable, enlightened, envious, epic, estatic, evolving, excellent, exciting, fame, fulfilled, fulfilling, goal, good, great, growth, happiness, happy, high, highly, improved, improvement, increase, increasing, intense, involved, joyful, joyous, learning, loved, lucky, meaningful, miracle, neutral, nice, nirvana, none, optimisitic, overwhelming, paced, passive, peaceful, peaking, perfect, pleasant, positive, progress, promising, prospect, rewarded, rewarding, rising, skyrocketing, smart, steady, stressful, success, successful, superb, unpleasant, uphill, uplifted, uplifting, upward, very, wealthy, well, wonderful, worse"
"exp_fall_concave","amazing, average, bad, beaten, better, bittersweet, busy, calm, chronic, cliff, compassion, decay, decline, declined, declining, decreasing, delight, depressing, descent, develop, difficult, dipped, doomed, downfall, downhill, downturned, downward, drop, dying, enjoyment, eroded, failed, fall, falling, fantastic, fatalistic, fulfilling, fun, good, great, happiest, happiness, happy, hollow, hopely, intense, it, lazy, loss, meaningful, moderate, natural, neutral, nice, no, normal, not, out, pitiful, pleasant, plummet, poor, reality, regressing, rollercoaster, rough, sad, sadness, simple, slide, sloping, slow, spoiled, steady, stress, stressed, stressfull, strong, sunk, swift, tailspin, tragic, traumatic, unfavorable, unfortunate, unfulfilling, unlucky, upsetting, ventriloquist, very, wall, youthful"
"sin_fr_full","bad, bellweather, bipolar, boomerang, busy, calm, catastrophic, challenging, changing, comeback, comfortable, confusing, conquest, counterculture, courage, crisis, depression, difficult, dip, dipper, discovery, doldrum, down, emotional, extreme, extremes, fair, fine, foundational, fulfilled, fulfilling, good, gradual, great, happiness, hard, hardwork, hollow, imbalance, interesting, late, low, lowhigh, lowpoint, lucky, meaningful, medium, middleagecrisis, middling, midlifecrisis, mistakes, motivated, nadir, neutral, nice, norm, normal, odd, omniscient, overcome, personal, real, reasonable, rebound, rebounded, recover, recovered, recovery, redo, renewal, resilient, restorative, restored, revived, rockbottom, sad, sharp, slump, spotted, strength, stressfull, struggle, substantial, sunk, turned, typical, understand, uneven, unhappy, unsatisfactory, uplifting, valley, varied, very, waning, worker, worst"
