"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"random",1.00736153115858,0.999519878531579,1.00431243001953,1.00913135691403,0.981774730873688,1.01299954163843,1.0022886227202,1.00150552934572,0.982809930188197,0.997007822644735
"Embeddings",1.00574061410975,0.992248973213113,1.00033337846419,1.01322015889328,0.977508986129286,1.01678033610327,0.990205447757304,0.999099025660788,0.989447758221918,1.00042632878763
"Interestingness",1.00991234768629,0.997953660302819,1.004698840906,1.00790143975493,0.983313981147973,1.01207904973697,1.00006610939687,1.00207596201779,0.983151944837139,0.997837760351391
"Sentiment Score",0.906200832969195,0.936580999386167,0.886458478553883,0.867810194790692,0.887959134709651,0.879046822034827,0.880473764082161,0.913238610549387,0.891640755202323,0.930541997188244
"Maximum",0.781469513655567,0.791512944095464,0.789473449323753,0.720639791852927,0.772972330592936,0.775159409543522,0.759410089207444,0.77701288466756,0.807007927640918,0.779904131811701
"Minimum",0.826352371067728,0.837910002093121,0.876558499928644,0.790741673790424,0.837287735888024,0.80793912787482,0.774010779371139,0.85930170646146,0.791006083783404,0.85484666054726
"End Value",0.689272776321977,0.664996639968403,0.703267015996861,0.585983591346618,0.650369431756936,0.602038605793106,0.670629791605803,0.639149513983172,0.714955497162367,0.723660940973621
"Number of
Peaks",1.00939730655558,0.999012724627571,1.00489524483734,1.00992010832167,0.982751710615193,1.01296866822833,0.99897607189866,1.00389229184855,0.983911983712178,1.00036942983926
"Number of
Valleys",1.00950838059611,0.999195852114006,1.00498607804528,1.00881409836774,0.982830325128971,1.01286424562474,0.998976292032375,1.00380392641466,0.984843272328833,1.00031689241674
"Number of
Extrema",1.00946555828416,0.999101358771753,1.00493973911188,1.00934713886994,0.982782564399999,1.01293543252788,0.999019968146834,1.00393036219933,0.984299766500301,1.00040066326643
"Integral",0.712316832516653,0.710520115127292,0.737739940873834,0.597405881447721,0.732980350331996,0.665664847729926,0.683106068245306,0.695446071482708,0.707168327198212,0.755659108389828
"1st Derivative",0.722811497823839,0.675502944040734,0.732526408498772,0.618531324766297,0.653560122777726,0.615391549736187,0.687927800875012,0.653758950258951,0.719273170455098,0.718820230795717
"1st Derivative
Early",0.775010691081997,0.719820790818833,0.813994888543453,0.680625726930934,0.706857242468806,0.660603313436082,0.779894074725598,0.691868884411314,0.781264641435125,0.766691296062118
"1st Derivative
Ascending",0.867602685316167,0.818724212932257,0.864074080302826,0.83238425375115,0.816145861863407,0.810680663677501,0.838448819316156,0.799106007670677,0.901948304879217,0.855039031652925
"1st Derivative
Descending",0.7274694891027,0.715117935614653,0.760093146327782,0.604651455916185,0.68761628636559,0.649561931392639,0.672333884413462,0.695427133090134,0.679308696467656,0.727506386784453
"1st Derivative
End",0.807313820601487,0.755136675187227,0.804060055987355,0.762493470124189,0.711363081076194,0.72126596321381,0.7968684737896,0.766641420411774,0.837700443970068,0.814986499157533
"2nd Derivative",1.00723284765045,0.99310650948887,1.00266177275742,1.00467966644648,0.982564656612452,1.00857035411135,0.992750179030031,1.00562762291742,0.98994446822063,0.99422968401749
"2nd Derivative
Early",1.00692495554386,0.992875111965652,1.00206676412315,1.00436733675457,0.981887328398624,1.00826846402135,0.992609328093806,1.0066868343942,0.989737133449389,0.994021490161435
"2nd Derivative
Ascending",1.00874547624139,0.990530648912613,1.00188150050798,1.00247701346127,0.983878608019698,1.00813994137941,0.989808614177797,1.00849487821473,0.987309864949678,0.996124750820925
"2nd Derivative
Descending",1.00761197259555,0.998733124535455,1.00448121398458,1.00896004968886,0.98176830780512,1.01111814611076,0.998536745267764,1.00152259247753,0.989461966602873,0.996537844881934
"2nd Derivative
End",1.00814877279396,0.991361893570162,1.00216574402104,1.00310295003976,0.98328145450232,1.00829941966563,0.990627156131982,1.0073739389864,0.988500175384359,0.995195153417366
