"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"random",0.103922120653064,-0.00422293988496441,0.035632337067571,-0.0143122910790743,0.0551693973276364,0.00111393074072776,-0.0903684084323052,0.0191331771906059,0.0504839389770214,0.128057492941093
"Embeddings",0.0849107989919795,0.145477571010902,0.10318761756632,-0.0369427495378908,0.119346850691665,-0.023187434952381,0.177087857744163,0.0730238365179548,-0.0419250648982352,0.00985276628840107
"Interestingness",-0.0248460816489068,0.0794364632546856,0.0180284944413009,0.0262025696124014,-0.0151901421341543,0.0367580899974602,-0.0597175492613389,-0.0052919759207644,0.0425060187984185,0.111145237780805
"Sentiment Score",0.441611297297199,0.366603571157583,0.472234871106924,0.520840306426623,0.430147466989086,0.500951637901163,0.473617140659953,0.413760892589206,0.424314410542723,0.37223107151671
"Maximum",0.635408145695875,0.613087767547854,0.619316073733016,0.701353175354006,0.617624172771312,0.644432552392533,0.648960780589456,0.639915425911062,0.577549127593197,0.627633424990722
"Minimum",0.579577567533565,0.547420240543595,0.492540560220609,0.623821321937851,0.527630857377525,0.606129342672666,0.631288937809306,0.51458150835057,0.598066758871604,0.524352443924128
"End Value",0.731216603265152,0.747292949863793,0.715273898952365,0.81850900637403,0.749670428053401,0.807000143950619,0.743511721948316,0.771952770940512,0.69085473289827,0.691876801431278
"Number of
Peaks",-0.036408586521403,-0.0219570645799951,-0.010152513201996,-0.13185846934473,-0.0267428021738627,-0.0710545913015396,-0.110025402729886,-0.116378258215845,-0.0325773153115583,-0.10338306869593
"Number of
Valleys",-0.0317358191282203,-0.0310688350982706,-0.0127249703730964,-0.109288765480456,-0.0653838559076678,-0.0868999133342819,-0.127908221262187,-0.10291800871032,-0.073121267950449,-0.0855454157462817
"Number of
Extrema",-0.0345234666856053,-0.0270382370269267,-0.011617601472784,-0.122995511693712,-0.0468376824275516,-0.0802384670449661,-0.120926111702214,-0.11128808670106,-0.0544960603842597,-0.0959978163064695
"Integral",0.709355001643459,0.703069826406121,0.681669935724576,0.807483520804361,0.668565438301196,0.753643616623016,0.729784940117914,0.723622393281526,0.695534045725879,0.658176618349774
"1st Derivative",0.698327382190612,0.737640550917793,0.686558021182611,0.793365567558346,0.746694808503872,0.79753620338924,0.726389403517748,0.75939643912105,0.685539637743487,0.700716021085503
"1st Derivative
Early",0.641614953349292,0.694358559316438,0.587539701877516,0.74064837011345,0.695247345754025,0.761105496131227,0.63043966243808,0.724688590930305,0.618212696424725,0.644546388275201
"1st Derivative
Ascending",0.512044697397262,0.572763344124897,0.511633599515553,0.567843015245672,0.556517606191384,0.605926310798417,0.542713468939936,0.607270078514487,0.426593644070081,0.518903457618963
"1st Derivative
Descending",0.693053394856434,0.699354075818752,0.664766507295207,0.802427390010685,0.714297945471006,0.767879717777835,0.740075405072908,0.7215635373131,0.723799054419096,0.694093660459445
"1st Derivative
End",0.602712833970208,0.654609966157099,0.601918831746959,0.657969723624293,0.694678579915936,0.714336402394889,0.604522836915534,0.644323526977106,0.536473969454947,0.580096001991789
"2nd Derivative",0.0627602775747704,0.131542587135645,0.067065668495761,0.087910496452761,0.029445275353617,0.0912899837371023,0.118615515558116,-0.00837564860940319,-0.0421033276729005,0.123732654778857
"2nd Derivative
Early",0.0672792144900328,0.131294615171159,0.0758704608283913,0.0911862323280276,0.0427202033130625,0.0945382309458957,0.118242145844535,-0.016031657195705,-0.0360610284145862,0.125300509362155
"2nd Derivative
Ascending",0.0516420983504874,0.168441751296344,0.0785188056569382,0.116811583582339,0.0111754430796899,0.094304196210169,0.16866214154023,-0.0184916334105965,-0.00823687364843637,0.0775876605101058
"2nd Derivative
Descending",0.071554070350333,0.0173491553502661,0.0273679970715971,-0.00492065909085346,0.0521833071719678,0.0688238298662508,-0.00310133725280308,0.0194119386944359,-0.0929173905325316,0.166373953895766
"2nd Derivative
End",0.0557286251678636,0.155479234323433,0.0744330215808167,0.10925349261167,0.0196351869796886,0.0925502796055801,0.153454225631368,-0.0137850826895673,-0.0222948540717063,0.0966777998367203
